StudyID,bis_total
A112,18
A121,15
A101,17
A1083,16
A103,16
A130,16
101,15
102,16
139,21
107,18
121,14
117,23
129,19
152,19
156,17
150,23
137,21
149,20
166,13
196,22
179,18
180,18
202,14
305,18
290,14
273,13
281,16
187,18
197,18
842,17
849,15
856,17
256,11
192,16
199,13
201,12
200,15
194,13
844,16
175,13
181,13
846,12
250,17
859,10
832,18
858,13
833,20
834,16
183,23
182,25
212,13
208,12
215,15
228,22
245,13
231,13
236,15
226,17
249,16
227,14
230,20
216,20
217,17
248,15
242,11
209,17
171,21
221,19
229,18
870,19
868,18
804,19
805,19
810,28
811,20
876,17
875,19
878,10
874,12
877,9
866,16
869,13
872,17
806,19
814,25
A1169,12
A1184,12
A1145,18
A1107,20
A1124,15
A1155,9
A1144,10
A1157,15
A1088,14
A1176,12
A1052,15
A1156,13
A1084,13
A1098,17
A1183,12
A1046,23
A1164,15
A157,10
A1189,10
A1195,18
A1190,16
A139,23
A1099,15
A162,16
A160,19
A115,20
A206,19
A137,17
A259,16
A217,18
A242,13
A1177,22
A197,26
A290,13
A337,15
A314,20
A953,18
A1198,17
A919,8
A1142,20
A1218,13
A1068,20
A1203,17
A927,23
884,14
892,14
883,13
891,13
893,17
890,12
889,18
269,18
311,18
329,14
262,15
291,22
293,17
294,19
423,20
511,14
535,25
449,13
372,25
459,14
342,14
560,18
309,12
388,25
353,13
442,11
436,15
