StudyID,Gender,ExactAge,FlooredAge
A101,F,21.1151,21
A103,F,20.2438,20
A112,F,19.6904,19
A121,F,19.737,19
A1083,M,23.063,23
A125,F,22.8795,22
A130,M,22.0493,22
101,F,17.4904,17
102,F,15.0055,15
107,M,12.726,12
117,F,15.9315,15
121,F,14.4055,14
129,M,14.2712,14
139,F,10.0219,10
149,M,11.7616,11
150,M,11.7589,11
152,M,8.0247,8
156,F,10.5041,10
166,M,11.1123,11
137,F,11.0849,11
256,F,17.7205,17
175,F,13.7918,13
181,F,16.4,16
187,F,13.3507,13
192,M,14.8329,14
199,M,14.6658,14
201,M,12.6082,12
202,M,13.2877,13
200,F,9.0301,9
194,F,9.3014,9
196,F,11.5205,11
197,F,11.189,11
179,M,10.3123,10
180,M,10.3123,10
250,M,17.2055,17
273,M,17.1945,17
281,F,17.4411,17
290,M,17.0904,17
305,F,17.8575,17
841,F,13.5041,13
842,F,17.2795,17
846,F,13.7918,13
858,F,15.674,15
859,F,13.2,13
844,M,10.0164,10
849,F,11.6986,11
856,M,10.6493,10
832,M,8.1233,8
833,F,10.9233,10
834,F,8.1288,8
182,M,13.8877,13
183,F,10.4384,10
208,F,9.9068,9
212,M,9.0082,9
215,M,12.874,12
216,F,15.2603,15
217,F,14.2822,14
209,M,12.5014,12
226,M,12.0767,12
227,M,15.463,15
228,F,16.8575,16
231,M,13.9452,13
236,F,12.2603,12
242,F,15.2274,15
248,M,15.6055,15
249,M,14.3808,14
245,M,9.926,9
229,F,11.5014,11
230,M,11.3616,11
221,M,9.0137,9
171,M,9.8986,9
828,F,10.5452,10
869,F,16.9973,16
866,M,16.4877,16
867,M,17.0932,17
868,M,16.1014,16
804,M,14.1753,14
805,M,11.989,11
806,M,8.3945,8
870,F,10.6192,10
814,F,8.8877,8
810,M,10.0411,10
811,F,8.8658,8
872,F,8.9041,8
874,M,15.8986,15
875,F,9.5616,9
876,M,13.4712,13
877,M,16.6493,16
878,F,13.3781,13
A1144,M,21.3041,21
A1145,M,19.1151,19
A1153,M,27.0247,27
A1155,M,25.4658,25
A1156,M,22.3479,22
A1157,M,24.2438,24
A1164,F,24.1425,24
A1169,M,25.6575,25
A1176,F,22.1644,22
A1177,M,22.0192,22
A1183,F,24.2877,24
A1184,M,22.1123,22
A1186,M,22.3479,22
A1098,F,18.9836,18
A1099,F,22.5205,22
A1107,M,24.4247,24
A1124,F,22.7945,22
A1084,F,20.6082,20
A1085,M,25.5699,25
A1088,F,23.0658,23
A1046,F,20.2877,20
A1052,M,25.6466,25
A1187,F,25.063,25
A1189,F,19.2849,19
A1190,F,22.2219,22
A1195,M,23.2795,23
A137,F,24.9726,24
A139,F,25.9014,25
A157,F,19.5178,19
A160,F,18.9534,18
A162,F,22.3315,22
A115,M,21.5425,21
A193,M,19.4192,19
A197,M,21.0274,21
A206,F,23.2986,23
A212,M,19.2329,19
A217,F,25.3918,25
A218,F,21.4795,21
A242,F,21.7589,21
A259,F,25.8301,25
A268,M,18.5288,18
A274,F,24.0795,24
A284,M,23.9562,23
A290,F,18.3397,18
A296,M,18.8027,18
A312,M,23.8877,23
A314,F,18.8658,18
A315,F,18.9397,18
A317,F,18.5589,18
A324,M,19.0959,19
A337,F,24.189,24
A338,F,18.9863,18
A349,M,20.9808,20
A353,F,25.4548,25
A355,M,18.6959,18
A356,M,23.0959,23
