psiturkid,elo
R_3NEgCFlK1BFSmdZ,332
R_3KxYOzYEKloODvs,295
R_3EEYoLyNN9SpuuT,287
R_1DSHShmupLFd4m9,285
R_zUdkqlxVsz3sXcJ,250
R_31SM3mwQvAhBwar,240
R_D1Afhly6eOCY66B,235
R_3fDgQlApbcv1n4e,232
R_0OFsszTuxG152et,220
R_1Do3QQWN7pWkPwQ,217
R_2uPQbPniskmS0Ep,213
R_NVGtaI93MLLVQfT,208
R_OOl4OrOpRgbrLBD,205
R_2ahKzS67s2u094R,192
R_vdABJ1XvXNriwff,192
R_2QRpawEy8w6txvN,184
R_28G5rUmynDONqbJ,178
R_2X10rcLujzFpHxv,176
R_2zuodaGDxpO8dfe,164
R_24rdiskqYQc7BsO,155
R_1LeQOpZ9pat1k7D,153
R_10BfVTQovUcZioM,151
R_21j62EoiJ63yEJ5,150
R_2q8z9DfvMUHDZio,142
R_3j2tErwVrBPXWAH,140
R_Q0Jd5lCBrQu5Dm9,139
R_12lQaNUgCpqQizh,139
R_3lJsCIPqfpqRhkf,138
R_3NR4vGxEweQ74vU,132
R_25zHKt5eqk2Fr1k,131
R_3kzZPXnjFGbpt30,129
R_2XpQzVOPaMJjkCo,123
R_d1i4xMt2Vzivxg5,120
R_2wvlbfkxX6e4M29,115
R_2qlLx30lmNEXUJL,115
R_eINRkRhqhKHRjzz,109
R_1esokoelkIOTy89,109
R_1im5d5ENT1vk0Xm,108
R_3jciZNiYxaSffqd,106
R_2vjnTMhG0Bpa7wq,100
R_shhEOP9BPIFkz97,86
R_3oHOHstFKN4HiLA,83
R_1JPc2llYzw1ezqs,75
R_1NCzjmN3Hl5r3HF,71
R_2OHMsGSLXJZG0Bc,57
R_z1hBUlYMwkfdbGh,46
R_r2BwOdT2hnmQ5WN,40
R_XEQd4AtPvWuAWnT,24
R_2X1ycnpBX7zJOwI,11
R_2zoxitKzRuYUblm,5
R_WBOZ0yrZfLTCClz,-29
R_1Qck2ykGDls2DLz,-31
R_3ilNhJufw9u0JJr,-33
R_32R47f1GRrLhRdX,-52
R_1OGFPUUh0z8rWBh,-57
R_30ppJhWfEZIOoSi,-64
R_ULyuWg2JwZBuGiJ,-69
R_2AST2XkjQUqflkc,-75
R_2TTetTXWqRwQOGb,-78
R_1IsH6cT55Ys9Qu4,-81
R_2TIcY7St40mDSbp,-95
R_xlnbFfl5i6Zgz5v,-96
R_9Nac2hjg6u7BlS1,-97
R_0voL9dLPRpILrS9,-166
R_2xV1IwgJyplwuvp,-168
R_bqny5leXGykyp0t,-168
R_1F5MGuZ2rKZOLnc,-181
R_2D6PtBpvztH0yVh,-193
R_24qFUPTZKx0SybQ,-473
