StudyID,ExactAge,FlooredAge,fos_total,planning_subtotal,time_subtotal,anticipation_subtotal
A112,19.6904,19,46,16,14,16
A121,19.737,19,46,15,15,16
A101,21.1151,21,36,14,9,13
A1083,23.063,23,45,13,14,18
A103,20.2438,20,42,11,13,18
A130,22.0493,22,48,16,17,15
101,17.4904,17,40,13,11,16
102,15.0055,15,44,17,13,14
139,10.0219,10,39,14,13,12
107,12.726,12,49,20,13,16
121,14.4055,14,56,19,19,18
117,15.9315,15,36,13,9,14
129,14.2712,14,37,10,14,13
152,8.0247,8,38,15,11,12
156,10.5041,10,39,15,12,12
150,11.7589,11,51,14,19,18
149,11.7616,11,36,12,12,12
137,11.0849,11,37,13,11,13
166,11.1123,11,47,17,14,16
196,11.5205,11,35,9,15,11
179,10.3123,10,38,12,12,14
180,10.3123,10,32,9,11,12
202,13.2877,13,44,12,15,17
305,17.8575,17,46,16,14,16
290,17.0904,17,50,16,17,17
273,17.1945,17,57,20,17,20
281,17.4411,17,51,17,18,16
187,13.3507,13,42,15,14,13
197,11.189,11,40,9,17,14
842,17.2795,17,49,19,12,18
849,11.6986,11,46,13,17,16
856,10.6493,10,35,12,11,12
256,17.7205,17,46,16,17,13
192,14.8329,14,33,13,9,11
199,14.6658,14,44,12,17,15
201,12.6082,12,50,16,16,18
200,9.0301,9,44,16,14,14
194,9.3014,9,32,11,12,9
844,10.0164,10,31,10,8,13
175,13.7918,13,52,17,18,17
181,16.4,16,43,13,14,16
846,13.7918,13,49,16,17,16
250,17.2055,17,52,16,17,19
859,13.2,13,42,15,11,16
832,8.1233,8,41,14,11,16
858,15.674,15,48,15,19,14
833,10.9233,10,40,15,12,13
834,8.1288,8,41,10,13,18
183,10.4384,10,39,12,12,15
182,13.8877,13,30,7,16,7
212,9.0082,9,31,11,10,10
208,9.9068,9,53,18,19,16
215,12.874,12,39,13,13,13
228,16.8575,16,52,14,19,19
245,9.926,9,42,15,14,13
231,13.9452,13,44,11,17,16
236,12.2603,12,49,15,18,16
226,12.0767,12,43,13,15,15
249,14.3808,14,39,12,13,14
227,15.463,15,38,11,12,15
230,11.3616,11,40,13,15,12
216,15.2603,15,30,8,11,11
217,14.2822,14,39,13,13,13
248,15.6055,15,40,9,16,15
242,15.2274,15,51,15,17,19
209,12.5014,12,44,16,13,15
171,9.8986,9,38,12,11,15
221,9.0137,9,38,13,11,14
229,11.5014,11,35,11,11,13
870,10.6192,10,46,15,17,14
868,16.1014,16,52,17,16,19
804,14.1753,14,39,9,14,16
805,11.989,11,22,8,7,7
810,10.0411,10,33,6,14,13
811,8.8658,8,40,14,13,13
876,13.4712,13,54,19,18,17
875,9.5616,9,41,13,17,11
878,13.3781,13,56,19,19,18
874,15.8986,15,42,19,10,13
877,16.6493,16,50,18,17,15
866,16.4877,16,43,13,14,16
869,16.9973,16,54,17,19,18
872,8.9041,8,40,17,11,12
806,8.3945,8,39,12,13,14
814,8.8877,8,36,12,11,13
A1169,25.6575,25,35,10,12,13
A1184,22.1123,22,53,18,15,20
A1145,19.1151,19,50,18,15,17
A1107,24.4247,24,38,13,12,13
A1124,22.7945,22,41,17,10,14
A1155,25.4658,25,56,20,18,18
A1144,21.3041,21,41,16,11,14
A1157,24.2438,24,51,17,15,19
A1088,23.0658,23,52,19,13,20
A1186,22.3479,22,43,15,13,15
A1176,22.1644,22,58,19,19,20
A1052,25.6466,25,55,18,20,17
A1156,22.3479,22,51,15,17,19
A1084,20.6082,20,46,13,17,16
A1098,18.9836,18,46,15,14,17
A1183,24.2877,24,50,18,16,16
A1046,20.2877,20,38,14,11,13
A1164,24.1425,24,43,16,14,13
A157,19.5178,19,46,17,14,15
A1189,19.2849,19,57,17,20,20
A1195,23.2795,23,37,13,12,12
A1190,22.2219,22,50,17,16,17
A139,25.9014,25,48,16,17,15
A1099,22.5205,22,50,19,14,17
A162,22.3315,22,50,15,16,19
A160,18.9534,18,42,13,14,15
A115,21.5425,21,43,13,16,14
A206,23.2986,23,42,18,12,12
A137,24.9726,24,45,16,15,14
A259,25.8301,25,47,15,16,16
A217,25.3918,25,51,17,17,17
A242,21.7589,21,51,18,18,15
A1177,22.0192,22,40,11,13,16
A197,21.0274,21,35,12,13,10
A290,18.3479,18,51,14,18,19
A337,24.1973,24,48,15,19,14
A314,18.874,18,38,11,13,14
A953,20.9918,20,41,14,16,11
A1198,20.0712,20,36,10,11,15
A919,22.1808,22,57,19,20,18
A1142,22.9918,22,28,8,9,11
A1218,22.274,22,32,10,12,10
A1068,22.2493,22,39,13,13,13
A1203,22.6438,22,48,15,18,15
A927,22.2192,22,53,18,18,17
884,15.3808,15,42,16,14,12
892,11.5068,11,36,14,8,14
883,14.989,14,38,16,9,13
891,12.3753,12,51,17,17,17
893,9.2274,9,40,12,15,13
890,14.6849,14,49,16,18,15
889,12.0329,12,48,14,17,17
269,9.7123,9,45,17,14,14
311,16.3233,16,46,15,17,14
329,16.5781,16,44,15,12,17
262,9.8685,9,49,16,15,18
291,16.5562,16,43,16,14,13
293,13.0192,13,39,13,13,13
294,11.0055,11,36,12,13,11
423,8.326,8,38,13,12,13
511,10.9726,10,39,15,10,14
535,10.8438,10,32,8,15,9
449,17.0274,17,48,17,16,15
372,17.0712,17,23,9,6,8
459,15.2904,15,45,11,19,15
342,11.8164,11,46,14,15,17
560,8.2274,8,40,14,12,14
309,15.9452,15,50,18,17,15
388,17.337,17,44,17,12,15
353,14.2219,14,41,14,12,15
442,12.1205,12,39,14,13,12
436,9.3836,9,38,15,10,13
