StudyID, 3rdToLast, 2ndToLast, Last, rt3, rt2, rt1
101,16,16,15,2.2556666666666665,0.91725,0.76825
102,15,15,14,2.72,2.219181818181818,3.7575555555555553
107,11,12,13,1.6185,1.2144,5.1754444444444445
117,11,12,11,1.03125,0.8230000000000001,1.3841666666666668
121,9,10,11,1.0788,3.703818181818182,1.6959090909090908
129,13,12,11,2.05875,0.92675,1.2225
137,7,6,6,4.2082500000000005,2.123857142857143,7.355
139,7,8,9,1.346,2.5302,0.8645714285714285
149,11,10,9,1.82175,2.4756,2.025333333333333
150,9,10,9,1.2658,1.1832,1.260375
152,9,10,11,1.6212,1.20725,1.59425
156,5,5,6,0.8884,0.786,1.276
166,9,8,7,1.593,1.4485,1.3366
171,9,9,8,1.2853333333333332,0.9143333333333333,1.3772
175,9,9,10,2.5854,1.72825,1.26775
179,6,6,7,1.146764705882353,1.1942857142857144,1.6598
180,8,7,6,1.9808,15.379999999999999,5.298
181,12,12,13,0.88725,0.7665000000000001,1.0677142857142856
182,18,18,17,1.0341428571428573,1.682,1.8638571428571429
183,14,15,14,1.05175,1.282142857142857,1.08825
187,12,11,10,1.767,2.5927777777777776,2.5443333333333333
192,12,11,11,1.5787142857142857,3.6376,2.052
194,12,13,12,1.2698333333333334,1.3928,1.49975
196,5,4,4,1.17025,1.9251,1.03
197,6,6,5,1.13275,1.3215,0.80725
199,12,12,13,2.0315714285714286,2.5780000000000003,1.4422
200,13,12,11,2.9682857142857144,2.3296,1.3860000000000001
201,16,17,16,1.56,1.107,2.0175
202,9,9,10,1.3676,1.2178333333333333,1.32525
208,8,7,7,2.9974000000000003,1.28675,1.6025
209,8,9,10,0.964,2.1133333333333333,2.353285714285714
212,15,14,14,1.6124,0.71275,1.299
215,8,7,6,1.775,2.8043333333333336,10.49161111111111
216,13,12,11,1.02,0.71,0.9565
217,9,10,11,1.6642857142857141,0.903,2.5675
221,9,9,10,1.6952500000000001,2.81775,3.476875
226,12,12,12,4.951555555555555,3.023833333333333,1.5525
227,12,13,14,1.7015714285714285,1.5381111111111112,2.3832222222222224
228,7,8,7,0.8396,0.579,0.68225
229,13,14,13,1.3875,1.9172,1.7125
230,11,11,12,1.0715,2.1835,1.82
231,11,12,11,1.186,1.28,0.7545
236,1,1,1,1.3411666666666666,1.1555,1.3311111111111111
242,10,10,11,1.8111,1.563,2.618888888888889
245,10,11,10,2.30625,3.605,2.5125
248,15,16,15,1.17725,1.2616666666666667,0.94075
249,10,11,12,6.1255,2.9627499999999998,2.00325
250,8,7,7,10.8435,5.48925,8.866625
256,13,13,12,3.2131666666666665,2.8066,2.114375
262,8,7,7,2.5391666666666666,0.5894,0.92025
269,7,7,8,0.7524,1.1504,0.8026
273,13,13,12,1.4505,2.72375,1.9285
281,14,15,14,1.1695,7.732714285714286,4.164444444444444
290,9,9,10,2.3487,2.5178333333333334,2.6593846153846155
291,13,14,15,0.9188000000000001,1.5022307692307693,1.12625
293,10,10,11,1.757875,0.9223333333333333,1.3052
294,10,11,12,0.76475,0.832125,0.55525
305,9,9,10,2.9491111111111112,2.659,3.5120999999999998
309,14,15,16,2.043,2.634857142857143,2.2167777777777777
311,11,11,12,1.0827499999999999,0.6465000000000001,1.3088571428571427
329,10,11,12,1.5625,0.963,1.2397500000000001
342,14,15,16,1.916,1.9748333333333334,3.068222222222222
353,12,12,13,2.0570714285714287,1.405,1.217
372,3,2,2,3.8295,1.8958181818181818,1.9252857142857143
388,14,14,15,2.7885,2.9642857142857144,2.4411111111111112
423,6,5,5,0.847,0.51675,0.798
436,4,4,5,0.5407500000000001,1.4618333333333333,1.4356
442,11,12,13,2.383625,1.27575,2.5294
449,15,14,14,2.429846153846154,3.1422857142857143,2.8082857142857143
459,13,13,12,2.139777777777778,1.9264285714285714,1.897111111111111
511,15,16,15,1.962125,1.183,2.4785714285714286
535,11,12,13,2.3865,1.5648,1.3801666666666665
560,14,13,13,0.8973333333333333,0.558,2.088722222222222
804,11,10,10,1.420909090909091,1.2255,0.499
805,8,9,10,0.875,0.71975,1.1395
806,7,6,6,1.281,1.2248,1.1532
810,12,11,11,0.9642,1.305,1.683
811,17,18,19,1.049,1.9738571428571428,3.8257222222222222
814,6,6,7,0.55225,0.14100000000000001,1.7061428571428572
832,7,7,6,0.62075,0.5650000000000001,1.4965
833,10,11,12,1.4797500000000001,1.39825,1.345
834,9,8,7,1.2855,2.435777777777778,1.2072777777777777
842,11,12,11,1.0655,0.3893333333333333,0.88025
844,2,2,3,1.0140666666666667,0.8939999999999999,0.7696000000000001
846,10,10,9,1.1541428571428571,6.334416666666667,0.90675
849,10,10,11,1.5223333333333333,1.1303333333333334,1.440625
856,18,17,16,2.3890000000000002,1.5504,1.6885
858,13,14,13,1.261,1.3399999999999999,3.48875
859,3,3,4,1.8376666666666668,2.311888888888889,1.3429
866,9,9,10,1.5105,1.7028333333333334,1.9505714285714286
866,4,4,5,1.77775,2.227,2.838363636363636
868,10,11,12,2.030333333333333,2.426142857142857,4.0473333333333334
869,15,15,14,1.3476,1.9515714285714285,1.7518
870,10,10,9,1.3325,1.19,1.305
872,9,9,8,1.08875,1.28275,1.8305555555555555
874,7,8,9,1.8581666666666667,2.21475,2.6094444444444442
875,8,9,8,1.4035,0.7448333333333333,1.5939
876,13,12,12,2.6135714285714284,1.5175,1.6741666666666668
