subject,fold,planningDepth,featureDropRate,heuristicQuality,elo,StudyID,DoB,Gender,ExactAge,FlooredAge,TaskDate,ageBin,ageBinNr,ageBinValue
101:R_31SM3mwQvAhBwar,1,6.67758,0.37914,0.44595664,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,2,5.17404,0.40756,0.429563656,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,3,6.41074,0.20175,0.428207483,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,4,6.03305,0.25907,0.43703364,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,5,6.37074,0.43755,0.416901304,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,1,9.34128,0.13684,0.627596123,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,2,7.52443,0.56139,0.559264722,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,3,10.5912,0.12573,0.710924383,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,4,2.88287,0.21914,0.600598596,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,5,5.90722,0.48576,0.624707879,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
107:R_2ahKzS67s2u094R,1,6.16235,0.38584,0.519343183,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,2,2.88842,0.21294,0.398137566,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,3,0.0162167,0.33206,0.497856945,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,4,0.109923,0.37505,0.475824818,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,5,0,0.50603,0.35024264,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
117:R_2XpQzVOPaMJjkCo,1,2.17559,0.015274,0.535370215,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,2,6.71791,0.24913,0.284477647,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,3,2.83351,0.44995,0.485426743,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,4,1.82446,0.11478,0.548999427,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,5,4.40031,0.15517,0.54318797,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,1,9.94808,0.11891,0.598630372,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,2,2.59717,0.26043,0.558866631,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,3,5.78318,0.24549,0.6085717,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,4,4.22235,0.2415,0.592740716,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,5,2.74619,0.29011,0.6257508,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,1,0.870832,0.20442,0.570176133,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,2,2.32528,0.34184,0.532821146,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,3,3.72981,0.23899,0.611914094,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,4,9.58641,0.18479,0.654674259,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,5,3.30691,0.31004,0.539757279,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
137:R_2X1ycnpBX7zJOwI,1,6.35148,0.55257,0.624011843,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,2,3.72795,0.42212,0.604642818,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,3,1.84296,0.44258,0.580242581,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,4,6.479,0.79877,0.534183531,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,5,2.66875,0.52183,0.496643339,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,1,0.0156147,0.0017181,0.202344492,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,2,0.592649,4.04E-09,0.182810604,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,3,0.484787,0.31364,0.647271149,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,4,0.000437796,0.00048089,0.261888577,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,5,2.37486,0.00038881,0.14300614,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,1,4.23933,0.30133,0.525919101,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,2,2.60719,0.49898,0.46946788,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,3,6.85206,0.41914,0.578942966,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,4,3.24389,0.17262,0.523006751,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,5,5.5126,0.42061,0.542579994,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,1,3.39248,0.46588,0.494608274,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,2,2.9606,0.4219,0.453195297,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,3,5.15509,0.38967,0.502057399,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,4,6.72059,0.43431,0.390767103,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,5,6.51512,0.29767,0.384247954,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
152:R_XEQd4AtPvWuAWnT,1,6.87025,0.33117,0.42821933,7,152,11/9/12,M,8.0247,8,11/16/20,"(7, 12]",0,10
152:R_XEQd4AtPvWuAWnT,2,2.61135,0.46144,0.487591966,7,152,11/9/12,M,8.0247,8,11/16/20,"(7, 12]",0,10
152:R_XEQd4AtPvWuAWnT,3,3.64887,0.39209,0.484422526,7,152,11/9/12,M,8.0247,8,11/16/20,"(7, 12]",0,10
152:R_XEQd4AtPvWuAWnT,4,0.0654506,0.51011,0.478087364,7,152,11/9/12,M,8.0247,8,11/16/20,"(7, 12]",0,10
152:R_XEQd4AtPvWuAWnT,5,1.3956,0.32808,0.508331261,7,152,11/9/12,M,8.0247,8,11/16/20,"(7, 12]",0,10
156:R_2TTetTXWqRwQOGb,1,0.00113097,0.36966,0.473991255,-96,156,5/21/10,F,10.5041,10,11/18/20,"(7, 12]",0,10
156:R_2TTetTXWqRwQOGb,2,0,0.53511,0.501628061,-96,156,5/21/10,F,10.5041,10,11/18/20,"(7, 12]",0,10
156:R_2TTetTXWqRwQOGb,3,0.291883,0.30554,0.503392751,-96,156,5/21/10,F,10.5041,10,11/18/20,"(7, 12]",0,10
156:R_2TTetTXWqRwQOGb,4,4.75978,0.48802,0.333524237,-96,156,5/21/10,F,10.5041,10,11/18/20,"(7, 12]",0,10
156:R_2TTetTXWqRwQOGb,5,0.31764,0.21117,0.466660958,-96,156,5/21/10,F,10.5041,10,11/18/20,"(7, 12]",0,10
166:R_9Nac2hjg6u7BlS1,1,6.06461,0.70052,0.52265194,-116,166,10/14/09,M,11.1123,11,11/21/20,"(7, 12]",0,10
166:R_9Nac2hjg6u7BlS1,2,4.91997,0.50778,0.571239686,-116,166,10/14/09,M,11.1123,11,11/21/20,"(7, 12]",0,10
166:R_9Nac2hjg6u7BlS1,3,2.18148,0.38062,0.524222077,-116,166,10/14/09,M,11.1123,11,11/21/20,"(7, 12]",0,10
166:R_9Nac2hjg6u7BlS1,4,3.73951,0.40224,0.604046876,-116,166,10/14/09,M,11.1123,11,11/21/20,"(7, 12]",0,10
166:R_9Nac2hjg6u7BlS1,5,3.15739,0.35245,0.567632589,-116,166,10/14/09,M,11.1123,11,11/21/20,"(7, 12]",0,10
171:R_1Qck2ykGDls2DLz,1,2.34739,0.13522,0.423534632,-45,171,1/30/11,M,9.8986,9,12/21/20,"(7, 12]",0,10
171:R_1Qck2ykGDls2DLz,2,5.28387,0.37776,0.53047458,-45,171,1/30/11,M,9.8986,9,12/21/20,"(7, 12]",0,10
171:R_1Qck2ykGDls2DLz,3,1.01282,0.043863,0.417248827,-45,171,1/30/11,M,9.8986,9,12/21/20,"(7, 12]",0,10
171:R_1Qck2ykGDls2DLz,4,2.78725,0.19995,0.554885133,-45,171,1/30/11,M,9.8986,9,12/21/20,"(7, 12]",0,10
