subject,fold,planningDepth,featureDropRate,heuristicQuality,elo,StudyID,DoB,Gender,ExactAge,FlooredAge,TaskDate,ageBin,ageBinNr,ageBinValue
101:R_31SM3mwQvAhBwar,1,6.95788,0.49594,0.450009025,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,2,6.87672,0.33766,0.421070452,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,3,7.52913,0.25449,0.425362259,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,4,5.6946,0.28526,0.443247511,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
101:R_31SM3mwQvAhBwar,5,6.94876,0.31179,0.432974208,227,101,5/19/03,F,17.4904,17,11/9/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,1,6.70197,0.22102,0.560787457,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,2,3.52793,0.25515,0.563441585,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,3,8.70409,0.28834,0.552688168,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,4,5.62578,0.40358,0.571266079,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
102:R_vdABJ1XvXNriwff,5,3.09588,0.16926,0.561108714,179,102,11/12/05,F,15.0055,15,11/10/20,"(12, 17]",1,15
107:R_2ahKzS67s2u094R,1,2.15476,0.32911,0.530472523,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,2,0.00229843,0.24643,0.540037216,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,3,1.82E-05,0.33859,0.478660462,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,4,0,0.30254,0.520765944,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
107:R_2ahKzS67s2u094R,5,2.04601,0.34492,0.530790282,179,107,2/24/08,M,12.726,12,11/12/20,"(7, 12]",0,10
117:R_2XpQzVOPaMJjkCo,1,2.1185,0.14478,0.487993579,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,2,4.02895,0.18797,0.543079529,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,3,2.61229,0.21713,0.551629271,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,4,1.18296,0.18091,0.53635987,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
117:R_2XpQzVOPaMJjkCo,5,6.81731,0.25197,0.532720979,109,117,12/12/04,F,15.9315,15,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,1,6.10693,0.34853,0.552571233,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,2,2.47791,0.11132,0.525352054,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,3,2.19259,0.17997,0.550287002,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,4,4.82986,0.33114,0.557250588,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
121:R_2zoxitKzRuYUblm,5,3.90469,0.29284,0.526727263,-9,121,6/22/06,F,14.4055,14,11/13/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,1,8.10049,0.29697,0.564288265,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,2,4.38105,0.32378,0.560218921,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,3,8.83225,0.3323,0.559021153,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,4,6.35359,0.2468,0.557107367,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
129:R_2q8z9DfvMUHDZio,5,2.3718,0.19995,0.518773117,129,129,8/11/06,M,14.2712,14,11/14/20,"(12, 17]",1,15
137:R_2X1ycnpBX7zJOwI,1,6.24559,0.7934,0.550621881,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,2,4.76084,0.57357,0.517627599,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,3,3.02388,0.48714,0.569360512,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,4,2.98108,0.58941,0.574759659,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
137:R_2X1ycnpBX7zJOwI,5,4.10533,0.58669,0.55279313,-8,137,10/23/09,F,11.0849,11,11/20/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,1,5.33232,0.63275,0.460121071,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,2,11.3481,3.46E-06,0.102380305,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,3,1.77353,0.47412,0.552212985,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,4,3.82941,0.74808,0.412027719,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
139:R_1F5MGuZ2rKZOLnc,5,2.18285,0.27783,0.36239245,-194,139,11/7/10,F,10.0219,10,11/12/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,1,3.09533,0.20797,0.482122803,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,2,3.67687,0.33005,0.527828002,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,3,3.37162,0.27775,0.479204874,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,4,9.08502,0.2629,0.502984078,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
149:R_shhEOP9BPIFkz97,5,4.55551,0.37111,0.494518654,66,149,2/18/09,M,11.7616,11,11/20/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,1,3.81828,0.37546,0.458605224,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
150:R_3ilNhJufw9u0JJr,2,7.75182,0.43166,0.49264078,-53,150,2/18/09,M,11.7589,11,11/19/20,"(7, 12]",0,10
