subject,fold,nll
101-R_31SM3mwQvAhBwar,1,83.04049999999998
101-R_31SM3mwQvAhBwar,2,95.79789999999998
101-R_31SM3mwQvAhBwar,3,88.4858
101-R_31SM3mwQvAhBwar,4,82.03699999999999
101-R_31SM3mwQvAhBwar,5,77.84440000000001
102-R_vdABJ1XvXNriwff,1,99.50309999999998
102-R_vdABJ1XvXNriwff,2,96.67049999999999
102-R_vdABJ1XvXNriwff,3,101.06390000000002
102-R_vdABJ1XvXNriwff,4,94.81490000000002
102-R_vdABJ1XvXNriwff,5,98.64929999999997
107-R_2ahKzS67s2u094R,1,85.1836
107-R_2ahKzS67s2u094R,2,83.5456
107-R_2ahKzS67s2u094R,3,72.235
107-R_2ahKzS67s2u094R,4,77.8913
107-R_2ahKzS67s2u094R,5,89.45930000000001
117-R_2XpQzVOPaMJjkCo,1,105.26089999999999
117-R_2XpQzVOPaMJjkCo,2,80.00350000000002
117-R_2XpQzVOPaMJjkCo,3,95.23099999999998
117-R_2XpQzVOPaMJjkCo,4,78.76410000000001
117-R_2XpQzVOPaMJjkCo,5,75.63619999999999
121-R_2zoxitKzRuYUblm,1,108.39399999999998
121-R_2zoxitKzRuYUblm,2,108.34029999999997
121-R_2zoxitKzRuYUblm,3,117.02249999999998
121-R_2zoxitKzRuYUblm,4,93.7499
121-R_2zoxitKzRuYUblm,5,103.83719999999997
129-R_2q8z9DfvMUHDZio,1,104.68249999999998
129-R_2q8z9DfvMUHDZio,2,86.15619999999998
129-R_2q8z9DfvMUHDZio,3,98.93169999999998
129-R_2q8z9DfvMUHDZio,4,96.42060000000002
129-R_2q8z9DfvMUHDZio,5,98.51229999999997
137-R_2X1ycnpBX7zJOwI,1,136.36419999999995
137-R_2X1ycnpBX7zJOwI,2,150.38510000000002
137-R_2X1ycnpBX7zJOwI,3,144.62390000000002
137-R_2X1ycnpBX7zJOwI,4,127.96189999999996
137-R_2X1ycnpBX7zJOwI,5,137.3819
139-R_1F5MGuZ2rKZOLnc,1,194.04459999999972
139-R_1F5MGuZ2rKZOLnc,2,194.84609999999975
139-R_1F5MGuZ2rKZOLnc,3,204.18440000000004
139-R_1F5MGuZ2rKZOLnc,4,192.80999999999972
139-R_1F5MGuZ2rKZOLnc,5,195.53449999999998
149-R_shhEOP9BPIFkz97,1,85.77909999999999
149-R_shhEOP9BPIFkz97,2,97.02239999999999
149-R_shhEOP9BPIFkz97,3,85.712
149-R_shhEOP9BPIFkz97,4,128.8663
149-R_shhEOP9BPIFkz97,5,90.6108
150-R_3ilNhJufw9u0JJr,1,100.64819999999997
150-R_3ilNhJufw9u0JJr,2,92.12429999999999
150-R_3ilNhJufw9u0JJr,3,134.6896
150-R_3ilNhJufw9u0JJr,4,108.20909999999999
150-R_3ilNhJufw9u0JJr,5,115.57809999999998
152-R_XEQd4AtPvWuAWnT,1,97.03529999999999
152-R_XEQd4AtPvWuAWnT,2,90.4214
152-R_XEQd4AtPvWuAWnT,3,90.51389999999999
152-R_XEQd4AtPvWuAWnT,4,95.44459999999998
152-R_XEQd4AtPvWuAWnT,5,96.76899999999996
156-R_2TTetTXWqRwQOGb,1,99.12509999999997
156-R_2TTetTXWqRwQOGb,2,105.12460000000002
156-R_2TTetTXWqRwQOGb,3,114.45649999999999
156-R_2TTetTXWqRwQOGb,4,96.56219999999999
156-R_2TTetTXWqRwQOGb,5,98.19549999999998
