subject,fold,nll
101-R_31SM3mwQvAhBwar,1,85.87449999999998
101-R_31SM3mwQvAhBwar,2,85.70119999999997
101-R_31SM3mwQvAhBwar,3,92.75739999999999
101-R_31SM3mwQvAhBwar,4,87.0464
101-R_31SM3mwQvAhBwar,5,86.41459999999998
102-R_vdABJ1XvXNriwff,1,111.536
102-R_vdABJ1XvXNriwff,2,93.40249999999999
102-R_vdABJ1XvXNriwff,3,127.39579999999998
102-R_vdABJ1XvXNriwff,4,103.2892
102-R_vdABJ1XvXNriwff,5,98.41799999999999
107-R_2ahKzS67s2u094R,1,93.55420000000001
107-R_2ahKzS67s2u094R,2,79.5503
107-R_2ahKzS67s2u094R,3,72.95029999999998
107-R_2ahKzS67s2u094R,4,83.54879999999999
107-R_2ahKzS67s2u094R,5,96.3447
117-R_2XpQzVOPaMJjkCo,1,101.48799999999999
117-R_2XpQzVOPaMJjkCo,2,71.75810000000001
117-R_2XpQzVOPaMJjkCo,3,74.6523
117-R_2XpQzVOPaMJjkCo,4,87.52819999999998
117-R_2XpQzVOPaMJjkCo,5,76.5929
121-R_2zoxitKzRuYUblm,1,103.40899999999999
121-R_2zoxitKzRuYUblm,2,106.2246
121-R_2zoxitKzRuYUblm,3,103.1504
121-R_2zoxitKzRuYUblm,4,110.4377
121-R_2zoxitKzRuYUblm,5,99.91720000000001
129-R_2q8z9DfvMUHDZio,1,92.2898
129-R_2q8z9DfvMUHDZio,2,103.65959999999998
129-R_2q8z9DfvMUHDZio,3,98.30350000000001
129-R_2q8z9DfvMUHDZio,4,94.26159999999997
129-R_2q8z9DfvMUHDZio,5,87.84449999999998
137-R_2X1ycnpBX7zJOwI,1,146.03259999999997
137-R_2X1ycnpBX7zJOwI,2,135.5703
137-R_2X1ycnpBX7zJOwI,3,155.54370000000003
137-R_2X1ycnpBX7zJOwI,4,131.53089999999995
137-R_2X1ycnpBX7zJOwI,5,115.86209999999997
139-R_1F5MGuZ2rKZOLnc,1,196.7153
139-R_1F5MGuZ2rKZOLnc,2,197.95850000000004
139-R_1F5MGuZ2rKZOLnc,3,217.63060000000002
139-R_1F5MGuZ2rKZOLnc,4,192.3041999999997
139-R_1F5MGuZ2rKZOLnc,5,196.99909999999971
149-R_shhEOP9BPIFkz97,1,90.55679999999997
149-R_shhEOP9BPIFkz97,2,98.47059999999999
149-R_shhEOP9BPIFkz97,3,85.8711
149-R_shhEOP9BPIFkz97,4,115.68880000000001
149-R_shhEOP9BPIFkz97,5,96.35000000000001
150-R_3ilNhJufw9u0JJr,1,113.12379999999999
150-R_3ilNhJufw9u0JJr,2,103.5161
150-R_3ilNhJufw9u0JJr,3,112.7345
150-R_3ilNhJufw9u0JJr,4,109.17830000000001
150-R_3ilNhJufw9u0JJr,5,119.40499999999999
152-R_XEQd4AtPvWuAWnT,1,101.64959999999998
152-R_XEQd4AtPvWuAWnT,2,91.2761
152-R_XEQd4AtPvWuAWnT,3,89.03810000000001
152-R_XEQd4AtPvWuAWnT,4,102.24080000000001
152-R_XEQd4AtPvWuAWnT,5,87.04709999999999
156-R_2TTetTXWqRwQOGb,1,99.0496
156-R_2TTetTXWqRwQOGb,2,94.05259999999998
156-R_2TTetTXWqRwQOGb,3,107.5525
156-R_2TTetTXWqRwQOGb,4,92.92250000000001
156-R_2TTetTXWqRwQOGb,5,106.32719999999999
166-R_9Nac2hjg6u7BlS1,1,141.98509999999993
166-R_9Nac2hjg6u7BlS1,2,105.07240000000002
166-R_9Nac2hjg6u7BlS1,3,135.66770000000002
166-R_9Nac2hjg6u7BlS1,4,131.62949999999998
166-R_9Nac2hjg6u7BlS1,5,135.0183
171-R_1Qck2ykGDls2DLz,1,101.81849999999999
171-R_1Qck2ykGDls2DLz,2,123.26019999999998
171-R_1Qck2ykGDls2DLz,3,113.57979999999995
171-R_1Qck2ykGDls2DLz,4,91.87439999999998
171-R_1Qck2ykGDls2DLz,5,101.05479999999999
175-R_2vjnTMhG0Bpa7wq,1,79.91249999999998
175-R_2vjnTMhG0Bpa7wq,2,81.28339999999999
175-R_2vjnTMhG0Bpa7wq,3,108.4582
175-R_2vjnTMhG0Bpa7wq,4,82.37549999999997
175-R_2vjnTMhG0Bpa7wq,5,83.90729999999998
179-R_2xV1IwgJyplwuvp,1,147.37129999999996
179-R_2xV1IwgJyplwuvp,2,122.92729999999996
179-R_2xV1IwgJyplwuvp,3,129.62760000000003
179-R_2xV1IwgJyplwuvp,4,136.03529999999998
179-R_2xV1IwgJyplwuvp,5,120.71739999999997
180-R_1OGFPUUh0z8rWBh,1,87.78379999999999
180-R_1OGFPUUh0z8rWBh,2,97.29319999999998
180-R_1OGFPUUh0z8rWBh,3,77.9393
180-R_1OGFPUUh0z8rWBh,4,95.58109999999999
180-R_1OGFPUUh0z8rWBh,5,80.1361
181-R_3fDgQlApbcv1n4e,1,61.71110000000001
181-R_3fDgQlApbcv1n4e,2,92.8522
181-R_3fDgQlApbcv1n4e,3,71.2036
181-R_3fDgQlApbcv1n4e,4,84.30700000000002
181-R_3fDgQlApbcv1n4e,5,75.12119999999999
