subject,fold,nll
101-R_31SM3mwQvAhBwar,1,83.88329999999999
101-R_31SM3mwQvAhBwar,2,85.61930000000001
101-R_31SM3mwQvAhBwar,3,95.311
101-R_31SM3mwQvAhBwar,4,81.9491
101-R_31SM3mwQvAhBwar,5,86.9769
102-R_vdABJ1XvXNriwff,1,117.4492
102-R_vdABJ1XvXNriwff,2,102.06269999999999
102-R_vdABJ1XvXNriwff,3,110.07849999999993
102-R_vdABJ1XvXNriwff,4,99.3113
102-R_vdABJ1XvXNriwff,5,98.77259999999997
107-R_2ahKzS67s2u094R,1,100.1489
107-R_2ahKzS67s2u094R,2,84.42169999999999
107-R_2ahKzS67s2u094R,3,74.0437
107-R_2ahKzS67s2u094R,4,79.25619999999999
107-R_2ahKzS67s2u094R,5,96.84459999999999
117-R_2XpQzVOPaMJjkCo,1,99.28669999999997
117-R_2XpQzVOPaMJjkCo,2,80.50359999999999
117-R_2XpQzVOPaMJjkCo,3,68.3847
117-R_2XpQzVOPaMJjkCo,4,83.49740000000001
117-R_2XpQzVOPaMJjkCo,5,83.39169999999999
121-R_2zoxitKzRuYUblm,1,97.78739999999998
121-R_2zoxitKzRuYUblm,2,106.04799999999997
121-R_2zoxitKzRuYUblm,3,99.92659999999998
121-R_2zoxitKzRuYUblm,4,96.48719999999999
121-R_2zoxitKzRuYUblm,5,113.76890000000002
129-R_2q8z9DfvMUHDZio,1,103.3769
129-R_2q8z9DfvMUHDZio,2,102.07549999999999
129-R_2q8z9DfvMUHDZio,3,97.8906
129-R_2q8z9DfvMUHDZio,4,113.2115
129-R_2q8z9DfvMUHDZio,5,105.37049999999999
137-R_2X1ycnpBX7zJOwI,1,146.96399999999997
137-R_2X1ycnpBX7zJOwI,2,144.1417
137-R_2X1ycnpBX7zJOwI,3,147.82509999999996
137-R_2X1ycnpBX7zJOwI,4,138.92549999999997
137-R_2X1ycnpBX7zJOwI,5,139.77969999999996
139-R_1F5MGuZ2rKZOLnc,1,194.0695999999997
139-R_1F5MGuZ2rKZOLnc,2,196.16569999999973
139-R_1F5MGuZ2rKZOLnc,3,196.47200000000007
139-R_1F5MGuZ2rKZOLnc,4,194.72460000000004
139-R_1F5MGuZ2rKZOLnc,5,197.51520000000005
149-R_shhEOP9BPIFkz97,1,89.18759999999999
149-R_shhEOP9BPIFkz97,2,90.51790000000001
149-R_shhEOP9BPIFkz97,3,78.8548
149-R_shhEOP9BPIFkz97,4,128.3155
149-R_shhEOP9BPIFkz97,5,86.46639999999998
150-R_3ilNhJufw9u0JJr,1,113.1726
150-R_3ilNhJufw9u0JJr,2,83.22720000000001
150-R_3ilNhJufw9u0JJr,3,129.71979999999996
150-R_3ilNhJufw9u0JJr,4,130.0797
150-R_3ilNhJufw9u0JJr,5,122.45589999999999
152-R_XEQd4AtPvWuAWnT,1,108.0207
152-R_XEQd4AtPvWuAWnT,2,82.9328
152-R_XEQd4AtPvWuAWnT,3,92.95979999999999
152-R_XEQd4AtPvWuAWnT,4,97.1521
152-R_XEQd4AtPvWuAWnT,5,96.7681
156-R_2TTetTXWqRwQOGb,1,92.91360000000002
156-R_2TTetTXWqRwQOGb,2,104.76139999999997
156-R_2TTetTXWqRwQOGb,3,112.51369999999997
156-R_2TTetTXWqRwQOGb,4,104.89279999999998
156-R_2TTetTXWqRwQOGb,5,107.8847
166-R_9Nac2hjg6u7BlS1,1,139.4562
166-R_9Nac2hjg6u7BlS1,2,113.0582
166-R_9Nac2hjg6u7BlS1,3,147.54270000000002
166-R_9Nac2hjg6u7BlS1,4,141.05360000000002
166-R_9Nac2hjg6u7BlS1,5,144.64479999999998
171-R_1Qck2ykGDls2DLz,1,104.0699
171-R_1Qck2ykGDls2DLz,2,100.77750000000002
171-R_1Qck2ykGDls2DLz,3,104.41439999999999
171-R_1Qck2ykGDls2DLz,4,105.15749999999998
171-R_1Qck2ykGDls2DLz,5,109.20280000000001
175-R_2vjnTMhG0Bpa7wq,1,74.9536
175-R_2vjnTMhG0Bpa7wq,2,93.08449999999999
175-R_2vjnTMhG0Bpa7wq,3,118.56030000000003
175-R_2vjnTMhG0Bpa7wq,4,93.63759999999999
175-R_2vjnTMhG0Bpa7wq,5,80.00450000000001
179-R_2xV1IwgJyplwuvp,1,132.32729999999998
179-R_2xV1IwgJyplwuvp,2,142.65789999999998
179-R_2xV1IwgJyplwuvp,3,129.91619999999998
179-R_2xV1IwgJyplwuvp,4,142.57760000000002
179-R_2xV1IwgJyplwuvp,5,116.42390000000002
180-R_1OGFPUUh0z8rWBh,1,102.46849999999999
180-R_1OGFPUUh0z8rWBh,2,104.0561
180-R_1OGFPUUh0z8rWBh,3,101.98089999999999
180-R_1OGFPUUh0z8rWBh,4,98.8169
180-R_1OGFPUUh0z8rWBh,5,89.2423
181-R_3fDgQlApbcv1n4e,1,67.2189
181-R_3fDgQlApbcv1n4e,2,82.51219999999998
181-R_3fDgQlApbcv1n4e,3,83.61829999999998
181-R_3fDgQlApbcv1n4e,4,87.06530000000001
181-R_3fDgQlApbcv1n4e,5,78.4552
182-R_3NEgCFlK1BFSmdZ,1,66.8039
182-R_3NEgCFlK1BFSmdZ,2,77.91169999999998
182-R_3NEgCFlK1BFSmdZ,3,65.7277
182-R_3NEgCFlK1BFSmdZ,4,72.5404
182-R_3NEgCFlK1BFSmdZ,5,72.7921
183-R_2uPQbPniskmS0Ep,1,72.1083
183-R_2uPQbPniskmS0Ep,2,82.59369999999998
183-R_2uPQbPniskmS0Ep,3,79.4042
183-R_2uPQbPniskmS0Ep,4,77.46090000000002
183-R_2uPQbPniskmS0Ep,5,84.08640000000001
187-R_3oHOHstFKN4HiLA,1,72.7598
187-R_3oHOHstFKN4HiLA,2,69.25710000000001
187-R_3oHOHstFKN4HiLA,3,72.929
187-R_3oHOHstFKN4HiLA,4,72.0615
187-R_3oHOHstFKN4HiLA,5,84.76199999999999
192-R_1LeQOpZ9pat1k7D,1,98.53419999999998
192-R_1LeQOpZ9pat1k7D,2,94.39949999999997
192-R_1LeQOpZ9pat1k7D,3,112.43279999999997
192-R_1LeQOpZ9pat1k7D,4,116.2667
192-R_1LeQOpZ9pat1k7D,5,113.03589999999997
194-R_24rdiskqYQc7BsO,1,77.3762
194-R_24rdiskqYQc7BsO,2,75.6027
194-R_24rdiskqYQc7BsO,3,77.2376
194-R_24rdiskqYQc7BsO,4,80.0612
194-R_24rdiskqYQc7BsO,5,66.21600000000001
196-R_0voL9dLPRpILrS9,1,172.3892
196-R_0voL9dLPRpILrS9,2,132.1047
196-R_0voL9dLPRpILrS9,3,129.60299999999995
196-R_0voL9dLPRpILrS9,4,145.9049
196-R_0voL9dLPRpILrS9,5,149.70279999999997
197-R_bqny5leXGykyp0t,1,154.9998
197-R_bqny5leXGykyp0t,2,160.38450000000003
197-R_bqny5leXGykyp0t,3,171.31180000000003
197-R_bqny5leXGykyp0t,4,189.7563
197-R_bqny5leXGykyp0t,5,152.69610000000003
199-R_D1Afhly6eOCY66B,1,112.3932
199-R_D1Afhly6eOCY66B,2,80.38069999999998
199-R_D1Afhly6eOCY66B,3,110.12429999999999
199-R_D1Afhly6eOCY66B,4,100.6044
199-R_D1Afhly6eOCY66B,5,82.5097
200-R_1NCzjmN3Hl5r3HF,1,133.82209999999998
200-R_1NCzjmN3Hl5r3HF,2,122.21049999999995
200-R_1NCzjmN3Hl5r3HF,3,112.83389999999997
200-R_1NCzjmN3Hl5r3HF,4,123.29509999999999
200-R_1NCzjmN3Hl5r3HF,5,113.24560000000001
201-R_3kzZPXnjFGbpt30,1,134.99619999999996
201-R_3kzZPXnjFGbpt30,2,108.05779999999999
201-R_3kzZPXnjFGbpt30,3,107.97459999999997
201-R_3kzZPXnjFGbpt30,4,110.49019999999999
201-R_3kzZPXnjFGbpt30,5,85.274
202-R_2OHMsGSLXJZG0Bc,1,87.04629999999999
202-R_2OHMsGSLXJZG0Bc,2,89.3231
202-R_2OHMsGSLXJZG0Bc,3,96.442
202-R_2OHMsGSLXJZG0Bc,4,111.48969999999997
202-R_2OHMsGSLXJZG0Bc,5,98.00989999999999
208-R_2AST2XkjQUqflkc,1,104.48850000000002
208-R_2AST2XkjQUqflkc,2,102.80819999999996
208-R_2AST2XkjQUqflkc,3,103.0776
208-R_2AST2XkjQUqflkc,4,106.61469999999997
208-R_2AST2XkjQUqflkc,5,95.09039999999997
209-R_1esokoelkIOTy89,1,122.01119999999999
209-R_1esokoelkIOTy89,2,115.93739999999995
209-R_1esokoelkIOTy89,3,119.59599999999998
209-R_1esokoelkIOTy89,4,114.38109999999998
209-R_1esokoelkIOTy89,5,130.97499999999997
212-R_OOl4OrOpRgbrLBD,1,78.98879999999998
212-R_OOl4OrOpRgbrLBD,2,47.233799999999995
212-R_OOl4OrOpRgbrLBD,3,80.4432
212-R_OOl4OrOpRgbrLBD,4,67.64330000000001
212-R_OOl4OrOpRgbrLBD,5,51.63120000000001
215-R_32R47f1GRrLhRdX,1,126.9238
215-R_32R47f1GRrLhRdX,2,137.48979999999997
215-R_32R47f1GRrLhRdX,3,123.5632
215-R_32R47f1GRrLhRdX,4,150.8474
215-R_32R47f1GRrLhRdX,5,158.02800000000002
216-R_21j62EoiJ63yEJ5,1,84.46419999999998
216-R_21j62EoiJ63yEJ5,2,67.14370000000001
216-R_21j62EoiJ63yEJ5,3,69.58060000000002
216-R_21j62EoiJ63yEJ5,4,68.8253
216-R_21j62EoiJ63yEJ5,5,77.55749999999999
217-R_1JPc2llYzw1ezqs,1,106.9579
217-R_1JPc2llYzw1ezqs,2,133.08259999999999
217-R_1JPc2llYzw1ezqs,3,121.22329999999997
217-R_1JPc2llYzw1ezqs,4,122.06779999999995
217-R_1JPc2llYzw1ezqs,5,122.50609999999998
221-R_2wvlbfkxX6e4M29,1,99.14339999999999
221-R_2wvlbfkxX6e4M29,2,82.2123
221-R_2wvlbfkxX6e4M29,3,101.3138
221-R_2wvlbfkxX6e4M29,4,77.26959999999998
221-R_2wvlbfkxX6e4M29,5,77.8985
226-R_2X10rcLujzFpHxv,1,117.64659999999995
226-R_2X10rcLujzFpHxv,2,98.90649999999998
226-R_2X10rcLujzFpHxv,3,98.2088
226-R_2X10rcLujzFpHxv,4,82.8969
226-R_2X10rcLujzFpHxv,5,77.8551
227-R_2qlLx30lmNEXUJL,1,150.3791
227-R_2qlLx30lmNEXUJL,2,132.68079999999998
227-R_2qlLx30lmNEXUJL,3,145.69059999999996
227-R_2qlLx30lmNEXUJL,4,158.63529999999997
227-R_2qlLx30lmNEXUJL,5,155.36290000000005
228-R_ULyuWg2JwZBuGiJ,1,101.38479999999998
228-R_ULyuWg2JwZBuGiJ,2,115.30630000000001
228-R_ULyuWg2JwZBuGiJ,3,90.8302
228-R_ULyuWg2JwZBuGiJ,4,124.4595
228-R_ULyuWg2JwZBuGiJ,5,103.2646
229-R_3KxYOzYEKloODvs,1,78.30900000000001
229-R_3KxYOzYEKloODvs,2,68.8037
229-R_3KxYOzYEKloODvs,3,94.85579999999999
229-R_3KxYOzYEKloODvs,4,60.229000000000006
229-R_3KxYOzYEKloODvs,5,71.0977
230-R_28G5rUmynDONqbJ,1,74.9723
230-R_28G5rUmynDONqbJ,2,90.5463
230-R_28G5rUmynDONqbJ,3,58.849300000000014
230-R_28G5rUmynDONqbJ,4,73.5416
230-R_28G5rUmynDONqbJ,5,98.03309999999998
231-R_2QRpawEy8w6txvN,1,74.7059
231-R_2QRpawEy8w6txvN,2,52.80870000000001
231-R_2QRpawEy8w6txvN,3,66.4442
231-R_2QRpawEy8w6txvN,4,57.182100000000005
231-R_2QRpawEy8w6txvN,5,63.0222
236-R_24qFUPTZKx0SybQ,1,223.51979999999986
236-R_24qFUPTZKx0SybQ,2,216.05460000000014
236-R_24qFUPTZKx0SybQ,3,221.74829999999972
236-R_24qFUPTZKx0SybQ,4,218.86300000000023
236-R_24qFUPTZKx0SybQ,5,220.37200000000007
242-R_12lQaNUgCpqQizh,1,100.34179999999998
242-R_12lQaNUgCpqQizh,2,79.1748
242-R_12lQaNUgCpqQizh,3,110.10319999999999
242-R_12lQaNUgCpqQizh,4,104.2952
242-R_12lQaNUgCpqQizh,5,104.1922
245-R_eINRkRhqhKHRjzz,1,101.445
245-R_eINRkRhqhKHRjzz,2,64.95009999999999
245-R_eINRkRhqhKHRjzz,3,81.21480000000003
245-R_eINRkRhqhKHRjzz,4,65.9313
245-R_eINRkRhqhKHRjzz,5,85.75800000000002
248-R_1Do3QQWN7pWkPwQ,1,94.53619999999998
248-R_1Do3QQWN7pWkPwQ,2,90.68349999999998
248-R_1Do3QQWN7pWkPwQ,3,66.33820000000001
248-R_1Do3QQWN7pWkPwQ,4,87.53659999999999
248-R_1Do3QQWN7pWkPwQ,5,86.15229999999998
249-R_d1i4xMt2Vzivxg5,1,93.24129999999997
249-R_d1i4xMt2Vzivxg5,2,97.27199999999999
249-R_d1i4xMt2Vzivxg5,3,91.133
249-R_d1i4xMt2Vzivxg5,4,91.1564
249-R_d1i4xMt2Vzivxg5,5,88.90340000000002
250-R_r2BwOdT2hnmQ5WN,1,120.70949999999999
250-R_r2BwOdT2hnmQ5WN,2,120.93289999999999
250-R_r2BwOdT2hnmQ5WN,3,112.0151
250-R_r2BwOdT2hnmQ5WN,4,120.77019999999999
250-R_r2BwOdT2hnmQ5WN,5,121.88189999999997
256-R_10BfVTQovUcZioM,1,95.08759999999998
256-R_10BfVTQovUcZioM,2,118.20279999999995
256-R_10BfVTQovUcZioM,3,85.90079999999999
256-R_10BfVTQovUcZioM,4,99.67779999999999
256-R_10BfVTQovUcZioM,5,108.27209999999998
262-R_30idhiqurUAv63D,1,101.7115
262-R_30idhiqurUAv63D,2,110.01730000000002
262-R_30idhiqurUAv63D,3,122.78829999999998
262-R_30idhiqurUAv63D,4,112.0459
262-R_30idhiqurUAv63D,5,120.6297
269-R_2zC5iAXvVOKLmh6,1,106.3893
269-R_2zC5iAXvVOKLmh6,2,106.61690000000003
269-R_2zC5iAXvVOKLmh6,3,108.8519
269-R_2zC5iAXvVOKLmh6,4,94.1583
269-R_2zC5iAXvVOKLmh6,5,96.90259999999999
273-R_2zuodaGDxpO8dfe,1,107.3096
273-R_2zuodaGDxpO8dfe,2,110.33129999999998
273-R_2zuodaGDxpO8dfe,3,94.83500000000001
273-R_2zuodaGDxpO8dfe,4,110.78919999999998
273-R_2zuodaGDxpO8dfe,5,79.39130000000002
281-R_NVGtaI93MLLVQfT,1,85.4284
281-R_NVGtaI93MLLVQfT,2,105.6292
281-R_NVGtaI93MLLVQfT,3,98.76980000000002
281-R_NVGtaI93MLLVQfT,4,115.12480000000001
281-R_NVGtaI93MLLVQfT,5,77.1327
290-R_25zHKt5eqk2Fr1k,1,134.66060000000002
290-R_25zHKt5eqk2Fr1k,2,130.10229999999999
290-R_25zHKt5eqk2Fr1k,3,129.8582
290-R_25zHKt5eqk2Fr1k,4,129.55670000000003
290-R_25zHKt5eqk2Fr1k,5,129.47599999999994
291-R_3fq8dlBEbdOzPCb,1,120.228
291-R_3fq8dlBEbdOzPCb,2,131.7214
291-R_3fq8dlBEbdOzPCb,3,142.68279999999993
291-R_3fq8dlBEbdOzPCb,4,129.38269999999997
291-R_3fq8dlBEbdOzPCb,5,116.64590000000001
293-R_2aCAcRnL67iaV0l,1,88.6824
293-R_2aCAcRnL67iaV0l,2,71.16139999999999
293-R_2aCAcRnL67iaV0l,3,73.2739
293-R_2aCAcRnL67iaV0l,4,80.3842
293-R_2aCAcRnL67iaV0l,5,98.1947
294-R_2zP8FeEoub7z36i,1,68.8913
294-R_2zP8FeEoub7z36i,2,108.6535
294-R_2zP8FeEoub7z36i,3,88.97049999999997
294-R_2zP8FeEoub7z36i,4,69.32939999999999
294-R_2zP8FeEoub7z36i,5,98.244
305-R_WBOZ0yrZfLTCClz,1,127.70369999999996
305-R_WBOZ0yrZfLTCClz,2,123.95410000000003
305-R_WBOZ0yrZfLTCClz,3,129.30949999999999
305-R_WBOZ0yrZfLTCClz,4,121.59609999999998
305-R_WBOZ0yrZfLTCClz,5,121.92299999999997
309-R_2YRtckLmarTUiRn,1,102.22
309-R_2YRtckLmarTUiRn,2,83.3292
309-R_2YRtckLmarTUiRn,3,91.16939999999998
309-R_2YRtckLmarTUiRn,4,88.65500000000002
309-R_2YRtckLmarTUiRn,5,83.67519999999999
311-R_3pgcvaDmcvM4aTR,1,83.2567
311-R_3pgcvaDmcvM4aTR,2,86.4214
