subject,nll,nll1,nll2,nll3,nll4,nll5
101-R_31SM3mwQvAhBwar,433.7396,83.88329999999999,85.61930000000001,95.311,81.9491,86.9769
102-R_vdABJ1XvXNriwff,527.6742999999999,117.4492,102.06269999999999,110.07849999999993,99.3113,98.77259999999997
107-R_2ahKzS67s2u094R,434.7150999999999,100.1489,84.42169999999999,74.0437,79.25619999999999,96.84459999999999
117-R_2XpQzVOPaMJjkCo,415.06409999999994,99.28669999999997,80.50359999999999,68.3847,83.49740000000001,83.39169999999999
121-R_2zoxitKzRuYUblm,514.0180999999999,97.78739999999998,106.04799999999997,99.92659999999998,96.48719999999999,113.76890000000002
129-R_2q8z9DfvMUHDZio,521.925,103.3769,102.07549999999999,97.8906,113.2115,105.37049999999999
137-R_2X1ycnpBX7zJOwI,717.6359999999999,146.96399999999997,144.1417,147.82509999999996,138.92549999999997,139.77969999999996
139-R_1F5MGuZ2rKZOLnc,978.9470999999995,194.0695999999997,196.16569999999973,196.47200000000007,194.72460000000004,197.51520000000005
149-R_shhEOP9BPIFkz97,473.34219999999993,89.18759999999999,90.51790000000001,78.8548,128.3155,86.46639999999998
150-R_3ilNhJufw9u0JJr,578.6551999999999,113.1726,83.22720000000001,129.71979999999996,130.0797,122.45589999999999
152-R_XEQd4AtPvWuAWnT,477.8335,108.0207,82.9328,92.95979999999999,97.1521,96.7681
156-R_2TTetTXWqRwQOGb,522.9661999999998,92.91360000000002,104.76139999999997,112.51369999999997,104.89279999999998,107.8847
166-R_9Nac2hjg6u7BlS1,685.7555,139.4562,113.0582,147.54270000000002,141.05360000000002,144.64479999999998
171-R_1Qck2ykGDls2DLz,523.6220999999999,104.0699,100.77750000000002,104.41439999999999,105.15749999999998,109.20280000000001
175-R_2vjnTMhG0Bpa7wq,460.2405,74.9536,93.08449999999999,118.56030000000003,93.63759999999999,80.00450000000001
179-R_2xV1IwgJyplwuvp,663.9029,132.32729999999998,142.65789999999998,129.91619999999998,142.57760000000002,116.42390000000002
180-R_1OGFPUUh0z8rWBh,496.5647,102.46849999999999,104.0561,101.98089999999999,98.8169,89.2423
181-R_3fDgQlApbcv1n4e,398.8698999999999,67.2189,82.51219999999998,83.61829999999998,87.06530000000001,78.4552
182-R_3NEgCFlK1BFSmdZ,355.7758,66.8039,77.91169999999998,65.7277,72.5404,72.7921
183-R_2uPQbPniskmS0Ep,395.65350000000007,72.1083,82.59369999999998,79.4042,77.46090000000002,84.08640000000001
187-R_3oHOHstFKN4HiLA,371.7694,72.7598,69.25710000000001,72.929,72.0615,84.76199999999999
192-R_1LeQOpZ9pat1k7D,534.6690999999998,98.53419999999998,94.39949999999997,112.43279999999997,116.2667,113.03589999999997
194-R_24rdiskqYQc7BsO,376.4937,77.3762,75.6027,77.2376,80.0612,66.21600000000001
196-R_0voL9dLPRpILrS9,729.7046,172.3892,132.1047,129.60299999999995,145.9049,149.70279999999997
197-R_bqny5leXGykyp0t,829.1485000000001,154.9998,160.38450000000003,171.31180000000003,189.7563,152.69610000000003
199-R_D1Afhly6eOCY66B,486.0123,112.3932,80.38069999999998,110.12429999999999,100.6044,82.5097
200-R_1NCzjmN3Hl5r3HF,605.4071999999999,133.82209999999998,122.21049999999995,112.83389999999997,123.29509999999999,113.24560000000001
201-R_3kzZPXnjFGbpt30,546.7927999999999,134.99619999999996,108.05779999999999,107.97459999999997,110.49019999999999,85.274
202-R_2OHMsGSLXJZG0Bc,482.3109999999999,87.04629999999999,89.3231,96.442,111.48969999999997,98.00989999999999
208-R_2AST2XkjQUqflkc,512.0794,104.48850000000002,102.80819999999996,103.0776,106.61469999999997,95.09039999999997
209-R_1esokoelkIOTy89,602.9006999999999,122.01119999999999,115.93739999999995,119.59599999999998,114.38109999999998,130.97499999999997
212-R_OOl4OrOpRgbrLBD,325.9403,78.98879999999998,47.233799999999995,80.4432,67.64330000000001,51.63120000000001
215-R_32R47f1GRrLhRdX,696.8522,126.9238,137.48979999999997,123.5632,150.8474,158.02800000000002
216-R_21j62EoiJ63yEJ5,367.57129999999995,84.46419999999998,67.14370000000001,69.58060000000002,68.8253,77.55749999999999
217-R_1JPc2llYzw1ezqs,605.8376999999998,106.9579,133.08259999999999,121.22329999999997,122.06779999999995,122.50609999999998
221-R_2wvlbfkxX6e4M29,437.83759999999995,99.14339999999999,82.2123,101.3138,77.26959999999998,77.8985
226-R_2X10rcLujzFpHxv,475.5138999999999,117.64659999999995,98.90649999999998,98.2088,82.8969,77.8551
227-R_2qlLx30lmNEXUJL,742.7487,150.3791,132.68079999999998,145.69059999999996,158.63529999999997,155.36290000000005
228-R_ULyuWg2JwZBuGiJ,535.2454,101.38479999999998,115.30630000000001,90.8302,124.4595,103.2646
229-R_3KxYOzYEKloODvs,373.2952,78.30900000000001,68.8037,94.85579999999999,60.229000000000006,71.0977
230-R_28G5rUmynDONqbJ,395.9426,74.9723,90.5463,58.849300000000014,73.5416,98.03309999999998
231-R_2QRpawEy8w6txvN,314.1631,74.7059,52.80870000000001,66.4442,57.182100000000005,63.0222
236-R_24qFUPTZKx0SybQ,1100.5577,223.51979999999986,216.05460000000014,221.74829999999972,218.86300000000023,220.37200000000007
242-R_12lQaNUgCpqQizh,498.1072,100.34179999999998,79.1748,110.10319999999999,104.2952,104.1922
245-R_eINRkRhqhKHRjzz,399.29920000000004,101.445,64.95009999999999,81.21480000000003,65.9313,85.75800000000002
248-R_1Do3QQWN7pWkPwQ,425.2467999999999,94.53619999999998,90.68349999999998,66.33820000000001,87.53659999999999,86.15229999999998
249-R_d1i4xMt2Vzivxg5,461.7061,93.24129999999997,97.27199999999999,91.133,91.1564,88.90340000000002
250-R_r2BwOdT2hnmQ5WN,596.3095999999999,120.70949999999999,120.93289999999999,112.0151,120.77019999999999,121.88189999999997
256-R_10BfVTQovUcZioM,507.1410999999999,95.08759999999998,118.20279999999995,85.90079999999999,99.67779999999999,108.27209999999998
262-R_30idhiqurUAv63D,567.1927000000001,101.7115,110.01730000000002,122.78829999999998,112.0459,120.6297
269-R_2zC5iAXvVOKLmh6,512.919,106.3893,106.61690000000003,108.8519,94.1583,96.90259999999999
273-R_2zuodaGDxpO8dfe,502.6564,107.3096,110.33129999999998,94.83500000000001,110.78919999999998,79.39130000000002
281-R_NVGtaI93MLLVQfT,482.0849,85.4284,105.6292,98.76980000000002,115.12480000000001,77.1327
290-R_25zHKt5eqk2Fr1k,653.6538,134.66060000000002,130.10229999999999,129.8582,129.55670000000003,129.47599999999994
291-R_3fq8dlBEbdOzPCb,640.6607999999999,120.228,131.7214,142.68279999999993,129.38269999999997,116.64590000000001
293-R_2aCAcRnL67iaV0l,411.6966,88.6824,71.16139999999999,73.2739,80.3842,98.1947
294-R_2zP8FeEoub7z36i,434.0887,68.8913,108.6535,88.97049999999997,69.32939999999999,98.244
305-R_WBOZ0yrZfLTCClz,624.4863999999999,127.70369999999996,123.95410000000003,129.30949999999999,121.59609999999998,121.92299999999997
309-R_2YRtckLmarTUiRn,449.0488,102.22,83.3292,91.16939999999998,88.65500000000002,83.67519999999999
311-R_3pgcvaDmcvM4aTR,411.2874,83.2567,86.4214,87.93690000000001,91.8434,61.82899999999999
329-R_23eNWjNjj4QQj6j,431.2598999999999,87.0332,75.37259999999998,86.00839999999998,112.77959999999999,70.0661
342-R_3mmldwGes6cKAa2,527.7298999999999,116.50179999999999,121.08179999999997,92.30739999999997,100.40439999999997,97.4345
353-R_poraw4AzFhTIAxP,652.7502999999999,128.4935,130.3994,142.98219999999998,108.84339999999997,142.03179999999998
372-R_Pwksr0eXcbCEd8d,746.1610999999999,154.3423,148.55429999999996,148.23210000000003,146.52099999999996,148.5114
388-R_dpq89nsKJ0JiXRL,602.5483999999999,117.75359999999998,128.4953,115.41019999999999,114.4121,126.47719999999998
423-R_2VEZT2fDPyNv1gm,627.8228999999999,129.54330000000007,127.2044,124.51799999999989,124.01359999999994,122.54360000000005
436-R_UYNV3EWWRV3lLoZ,606.5356999999999,122.29930000000002,122.7991000000001,117.69819999999997,122.67659999999994,121.06249999999994
442-R_3Ld88EjI8BWuUys,525.6454,101.22249999999998,77.31660000000001,112.98900000000006,106.73739999999998,127.37989999999999
449-R_2bWfpiDHdXVr7kL,491.5562999999999,96.97659999999998,123.63759999999998,92.53190000000001,103.95019999999998,74.46
459-R_3h3FwGmfU7ntaRK,466.2284,91.20670000000001,78.88040000000002,117.9266,83.42369999999998,94.79099999999998
511-R_1q7Lpr4tLzK3kHb,420.9452,83.2644,63.96250000000001,95.22199999999998,106.88449999999999,71.6118
535-R_STCj0QvQgvLzWU1,469.1379999999999,94.48249999999997,105.51669999999997,100.28469999999999,80.0115,88.84259999999998
560-R_WxOwlLd4093w8lH,452.08119999999997,80.3007,86.1758,101.8051,94.3252,89.47439999999999
804-R_3EsSw2YvrmJfDkB,522.6487999999999,86.90939999999998,110.51329999999999,105.93289999999998,109.91189999999997,109.3813
805-R_BDtiNRvCWgS3tlv,549.6237,126.88579999999997,100.9009,83.6239,112.8465,125.36659999999998
806-R_2y2vsNf1xM7cyDH,625.4934999999999,121.38200000000002,132.47769999999997,128.58449999999996,140.5049,102.5444
810-R_2zjbTiTg8Eyyn0l,473.30429999999996,105.2885,85.07150000000001,88.81219999999999,104.87819999999999,89.25389999999997
811-R_3qjkmgfPqGwc8Ds,382.34370000000007,73.1986,70.3593,88.48979999999999,68.92360000000001,81.37240000000001
814-R_3g7L4XGVMxJRB0Y,464.5902999999999,111.30819999999997,111.62779999999998,72.5153,78.94759999999998,90.19139999999997
832-R_xlnbFfl5i6Zgz5v,514.8443,103.32979999999998,98.56519999999998,116.67330000000001,110.7108,85.56519999999998
833-R_1IsH6cT55Ys9Qu4,478.0718999999999,100.33749999999999,94.01329999999999,101.98019999999998,85.2576,96.4833
834-R_30ppJhWfEZIOoSi,440.10769999999997,90.05149999999998,79.49419999999999,96.2054,87.9194,86.4372
842-R_3jciZNiYxaSffqd,537.2494999999999,106.4202,100.27110000000002,109.68539999999997,127.152,93.7208
844-R_2D6PtBpvztH0yVh,763.4284999999998,150.54559999999998,167.73209999999997,145.2806999999999,148.17649999999995,151.69359999999995
846-R_z1hBUlYMwkfdbGh,535.011,101.61019999999998,99.62220000000002,111.14089999999999,116.00849999999996,106.62920000000001
849-R_1im5d5ENT1vk0Xm,585.1698999999999,116.0747,128.21519999999998,104.34249999999997,110.58209999999998,125.95539999999995
856-R_3EEYoLyNN9SpuuT,319.8385,57.333200000000005,63.95029999999999,78.14899999999999,53.9558,66.45019999999998
858-R_3NR4vGxEweQ74vU,416.74139999999994,67.12089999999999,96.39279999999998,78.08719999999998,97.67239999999998,77.4681
859-R_2TIcY7St40mDSbp,785.8631,153.91370000000012,158.69949999999997,157.15859999999992,163.75999999999993,152.3313000000001
866-R_1gV06gSb8WYiLyG,544.6846999999999,109.77689999999996,116.49170000000001,124.44179999999996,95.52009999999997,98.45419999999999
