,subject,fold,1,2,3,4,5,6,7,8,9,10
0,101:R_31SM3mwQvAhBwar,1,4.7762,0.0010137,0.36442,0.051252,0.68204,1.5939,0.76892,0.10268,4.196,8.6062
1,101:R_31SM3mwQvAhBwar,2,8.461,0.0018575,0.4012,0.063232,0.257,1.9408,1.8574,-0.12103,5.6372,9.9399
2,101:R_31SM3mwQvAhBwar,3,6.49,0.0010118,0.32993,0.05104,0.25602,1.6627,1.4942,-0.32079,6.6667,9.6308
3,101:R_31SM3mwQvAhBwar,4,1.93,0.0020209,0.23176,0.05103,0.5713,1.683,0.63339,0.23038,5.4241,10
4,101:R_31SM3mwQvAhBwar,5,9.8965,0.001,0.50404,0.054975,1.0239,2.0706,1.2112,-0.63019,7.2949,8.436
5,102:R_vdABJ1XvXNriwff,1,4.3156,0.0010506,0.1665,0.11231,0.74657,0.39283,0.7739,0.87272,4.2271,9.5895
6,102:R_vdABJ1XvXNriwff,2,9.5471,0.92341,0.30679,0.056553,0.3844,0.34683,2.0812,1.66,8.3954,9.7929
7,102:R_vdABJ1XvXNriwff,3,9.9997,0.0010728,0.42742,0.05064,1.1647,0.45231,0.69807,0.46642,5.0982,9.1327
8,102:R_vdABJ1XvXNriwff,4,7.738,0.0015569,0.27538,0.050052,0.7017,0.15284,1.0488,0.73692,5.6064,2.8009
9,102:R_vdABJ1XvXNriwff,5,9.9966,0.0010108,0.27181,0.071978,0.27648,0.096555,1.8947,1.3791,6.257,1.2452
10,107:R_2ahKzS67s2u094R,1,0.47274,0.015905,0.26179,0.055215,0.98312,0.3864,0.93222,-0.38493,3.5032,9.8032
11,107:R_2ahKzS67s2u094R,2,0.67429,0.16423,0.31063,0.052406,1.3092,0.32995,0.97348,-0.40109,4.326,9.9903
12,107:R_2ahKzS67s2u094R,3,5.3791,0.67621,0.20038,0.054338,1.3694,0.61669,1.1157,0.20132,4.4385,9.9133
13,107:R_2ahKzS67s2u094R,4,0.1,0.021915,0.30774,0.05,0.96365,0.017582,1.2755,0.13799,6.7971,9.9986
14,107:R_2ahKzS67s2u094R,5,0.37741,0.0084056,0.21677,0.073836,1.1385,0.44145,0.79619,0.12392,3.1891,9.9848
15,117:R_2XpQzVOPaMJjkCo,1,2.4482,0.038395,0.23429,0.053332,0.97951,0.65854,1.1165,-0.065169,5.1372,9.8494
16,117:R_2XpQzVOPaMJjkCo,2,3.1494,0.010031,0.26662,0.05,0.82937,0.50406,1.0066,-0.21271,5.4171,9.8845
17,117:R_2XpQzVOPaMJjkCo,3,1.1215,0.044945,0.19648,0.050004,0.95498,0.51575,0.97496,0.33788,4.5458,9.9894
18,117:R_2XpQzVOPaMJjkCo,4,1.0756,0.061098,0.29855,0.050952,1.0114,0.51666,0.95316,-0.26725,4.6837,9.9236
19,117:R_2XpQzVOPaMJjkCo,5,0.8457,0.082268,0.26393,0.050014,0.84757,0.50793,0.91806,-0.30116,4.2932,10
20,121:R_2zoxitKzRuYUblm,1,5.0087,0.001003,0.36276,0.050011,0.25341,0.43004,1.6588,0.31209,5.6286,9.9378
21,121:R_2zoxitKzRuYUblm,2,7.9478,0.0037916,0.36725,0.053505,0.80143,0.55688,1.1125,0.17602,5.0469,9.8734
22,121:R_2zoxitKzRuYUblm,3,1.8056,0.0094589,0.21325,0.050313,0.43148,0.79247,0.98926,0.36546,3.4821,10
23,121:R_2zoxitKzRuYUblm,4,9.1619,0.0010915,0.43375,0.050071,0.73996,0.38597,1.2625,-0.62458,6.9169,9.9977
24,121:R_2zoxitKzRuYUblm,5,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
25,129:R_2q8z9DfvMUHDZio,1,9.522,0.0011776,0.28585,0.051059,0.29654,0.2506,1.369,0.4758,5.948,9.7641
26,129:R_2q8z9DfvMUHDZio,2,1.1493,0.014193,0.2909,0.050651,0.91381,0.28017,1.2245,1.0703,4.4358,9.9356
27,129:R_2q8z9DfvMUHDZio,3,0.90649,0.018818,0.28976,0.050007,0.77559,0.5726,1.0109,0.95283,4.1719,9.9947
28,129:R_2q8z9DfvMUHDZio,4,1.0485,0.0010167,0.23183,0.050523,0.74103,0.39864,1.184,0.45504,3.5341,10
29,129:R_2q8z9DfvMUHDZio,5,1.3658,0.0014842,0.24442,0.05,0.86819,0.39225,0.94044,1.0638,4.0318,9.9746
30,137:R_2X1ycnpBX7zJOwI,1,3.3861,0.0035726,0.48075,0.089237,0.96992,0.013435,0.72215,0.58327,4.5936,6.5737
31,137:R_2X1ycnpBX7zJOwI,2,3.4203,0.013909,0.38135,0.12641,0.98225,0.89133,1.0528,0.62281,4.875,8.9076
32,137:R_2X1ycnpBX7zJOwI,3,0.80947,0.029066,0.24097,0.060124,0.28247,0.21484,0.4248,0.97656,5.4297,9.7998
33,137:R_2X1ycnpBX7zJOwI,4,1.4043,0.026567,0.39218,0.05576,0.62999,0.38419,1.0774,0.76799,5.6366,9.9997
34,137:R_2X1ycnpBX7zJOwI,5,1.3553,0.029475,0.42811,0.09215,0.76573,0.44949,0.66084,1.0939,3.853,9.9424
35,139:R_1F5MGuZ2rKZOLnc,1,2.7454,0.0077352,0.74406,0.05,0.75057,0.21759,1.4687,0.064087,4.5392,9.6941
36,139:R_1F5MGuZ2rKZOLnc,2,0.22147,0.39621,4.1001e-05,0.050038,1.9589,-7.0472,-4.7123,4.7757,-6.8485,-9.8949
37,139:R_1F5MGuZ2rKZOLnc,3,0.40794,0.0018208,0.00026393,0.051068,2.4029,-8.8962,-7.3815,9.9325,-4.3368,-8.8957
38,139:R_1F5MGuZ2rKZOLnc,4,0.12981,0.001,0.00064143,0.050316,3.7485,6.487,-9.9999,5.9824,-2.3376,-0.43156
39,139:R_1F5MGuZ2rKZOLnc,5,0.1,0.072806,2.3135e-08,0.059504,0.80273,-9.2124,-7.3333,9.9248,-9.6667,-3.5827
40,149:R_shhEOP9BPIFkz97,1,1.187,0.0044823,0.2467,0.088267,0.6734,1.0364,0.62988,0.44457,3.512,10
41,149:R_shhEOP9BPIFkz97,2,2.5586,0.023402,0.12713,0.050016,0.79013,0.88183,0.85367,0.94417,3.4001,9.9995
42,149:R_shhEOP9BPIFkz97,3,1.8692,0.022386,0.21535,0.077499,0.96298,1.1446,0.9233,1.1341,3.6882,9.9553
43,149:R_shhEOP9BPIFkz97,4,1.8888,0.0029206,0.22292,0.068174,0.63057,0.93917,0.74685,0.57536,3.2875,9.0628
44,149:R_shhEOP9BPIFkz97,5,5.7087,0.0018541,0.41177,0.059482,0.51363,1.1833,0.8299,1.0926,4.172,8.4342
45,150:R_3ilNhJufw9u0JJr,1,3.9655,0.0072278,0.46993,0.057407,1.0455,0.72171,0.87325,-1.1286,4.2489,9.9972
46,150:R_3ilNhJufw9u0JJr,2,9.7743,0.0010565,0.74699,0.055663,0.96085,0.97993,4.6535,-6.0493,9.819,7.7532
47,150:R_3ilNhJufw9u0JJr,3,3.866,0.001,0.2951,0.050161,0.75381,0.68939,0.84021,-0.38849,3.0679,10
48,150:R_3ilNhJufw9u0JJr,4,2.7774,0.0012674,0.4913,0.055814,0.68022,0.75463,1.6072,-1.6608,3.9,9.9617
49,150:R_3ilNhJufw9u0JJr,5,1.0153,0.012855,0.50439,0.050001,0.66461,0.7988,1.4118,-0.39185,3.58,9.972
