,subject,fold,1,2,3,4,5,6,7,8,9,10
0,101:R_31SM3mwQvAhBwar,1,8.4623,0.0010226,0.41862,0.05,0.32047,1.904,1.6342,0.86914,9.791,10
1,101:R_31SM3mwQvAhBwar,2,10,0.0014914,0.52124,0.05,0.69611,2.2852,1.1646,-0.5188,9.9548,9.4189
2,101:R_31SM3mwQvAhBwar,3,9.9555,0.0010716,0.44696,0.050146,1.1508,2.191,1.5974,-0.33365,7.6202,9.6281
3,101:R_31SM3mwQvAhBwar,4,9.8418,0.001,0.4476,0.05,0.87344,1.7751,1.095,-0.65591,6.577,9.0735
4,101:R_31SM3mwQvAhBwar,5,8.8168,0.0010068,0.41125,0.050395,0.25006,1.6626,0.70068,0.29663,8.8062,-8.4875
5,102:R_vdABJ1XvXNriwff,1,1.7767,0.0011454,0.38862,0.052138,0.69064,0.2517,1.3321,0.92464,4.9692,9.1711
6,102:R_vdABJ1XvXNriwff,2,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
7,102:R_vdABJ1XvXNriwff,3,4.2218,0.0081937,0.1408,0.064157,0.71581,0.32643,0.75917,0.76166,6.3041,9.9987
8,102:R_vdABJ1XvXNriwff,4,5.4286,0.016292,0.2179,0.050073,0.25124,0.33629,1.1214,1.4219,6.0092,9.9981
9,102:R_vdABJ1XvXNriwff,5,5.1554,0.0011167,0.00059855,0.05334,0.27269,0.15867,1.0249,0.90493,2.4223,7.9635
10,107:R_2ahKzS67s2u094R,1,10,0.99936,0.25112,0.05,1.4392,0.3387,0.88155,-0.35906,3.6719,8.3554
11,107:R_2ahKzS67s2u094R,2,0.65663,0.6625,0.36404,0.055494,1.0264,0.2202,1.033,-0.51796,4.5388,9.8708
12,107:R_2ahKzS67s2u094R,3,4.6584,0.9955,0.26727,0.18135,1.4182,0.19185,1.1088,-1.1414,4.6938,9.5155
13,107:R_2ahKzS67s2u094R,4,3.9437,0.94965,0.37559,0.050021,0.85344,0.3012,1.3537,-0.23167,4.7105,9.9509
14,107:R_2ahKzS67s2u094R,5,9.911,0.99995,0.35347,0.051986,1.2853,0.36825,1.1979,-0.474,4.3311,9.7668
15,117:R_2XpQzVOPaMJjkCo,1,0.81194,0.01384,0.095069,0.050816,0.80473,0.54147,0.80624,0.13397,4.2956,9.9961
16,117:R_2XpQzVOPaMJjkCo,2,9.2496,0.8958,0.23137,0.052092,0.68477,0.28201,1.5859,0.3121,6.4454,9.8794
17,117:R_2XpQzVOPaMJjkCo,3,2.3822,0.019006,0.2334,0.059868,1.1422,0.72149,0.70122,-0.041724,4.2233,9.2516
18,117:R_2XpQzVOPaMJjkCo,4,1.8174,0.024743,0.11806,0.054974,1.1618,0.483,0.82417,0.13857,4.0999,9.9388
