,subject,fold,1,2,3,4,5,6,7,8,9,10
0,101:R_31SM3mwQvAhBwar,1,8.0007,0.0010156,0.44551,0.053601,1.5953,2.0824,0.845,-0.10528,5.7179,10
1,101:R_31SM3mwQvAhBwar,2,5.1322,0.0048103,0.29412,0.057609,0.91078,1.4121,0.75078,0.13564,4.3569,9.9879
2,101:R_31SM3mwQvAhBwar,3,4.3738,0.0032927,0.23601,0.050213,0.96758,1.356,0.82165,0.71107,3.5773,8.1415
3,101:R_31SM3mwQvAhBwar,4,6.6823,0.0010193,0.4415,0.055457,0.93468,1.5316,0.71317,-0.23286,5.1804,9.8674
4,101:R_31SM3mwQvAhBwar,5,0.89806,0.046613,0.36311,0.050177,0.40887,1.4362,1.4141,0.76002,7.7215,10
5,102:R_vdABJ1XvXNriwff,1,9.3337,0.0050918,0.398,0.050189,0.9594,0.4424,0.66824,0.62646,7.1791,9.8877
6,102:R_vdABJ1XvXNriwff,2,6.4554,0.0073434,0.22788,0.050331,0.25676,-0.20633,0.97582,0.57811,4.5957,8.9024
7,102:R_vdABJ1XvXNriwff,3,0.71233,0.0010034,6.921e-05,0.050023,0.55996,0.11608,0.8453,0.65513,3.1617,8.9797
8,102:R_vdABJ1XvXNriwff,4,9.0657,0.0036509,0.37443,0.052499,0.91782,0.014173,0.68181,0.59596,6.7959,9.7832
9,102:R_vdABJ1XvXNriwff,5,8.3978,0.0010001,0.14084,0.050135,0.25001,0.30138,1.5299,1.1415,4.3941,9.3368
10,107:R_2ahKzS67s2u094R,1,0.46187,0.029579,0.21643,0.057267,1.2521,0.13619,0.69471,-0.20325,3.1528,9.8743
11,107:R_2ahKzS67s2u094R,2,2.1934,0.96681,0.21035,0.1051,0.96654,-0.17519,0.96062,-0.070877,4.8081,9.9073
12,107:R_2ahKzS67s2u094R,3,0.10498,0.017006,0.27545,0.11696,1.2532,-0.094965,0.79147,-0.1431,3.901,9.9609
13,107:R_2ahKzS67s2u094R,4,50.035,0.99943,0.44412,0.057007,1.1837,0.040172,0.95646,-0.73121,3.6107,9.9979
14,107:R_2ahKzS67s2u094R,5,0.34763,0.0192,0.38134,0.05365,1.0761,-0.39707,0.91718,-0.24603,4.2228,9.9954
15,117:R_2XpQzVOPaMJjkCo,1,3.7592,0.0076458,0.12007,0.050019,0.31099,1.061,1.1632,-0.39828,4.2407,9.9992
16,117:R_2XpQzVOPaMJjkCo,2,0.95661,0.003189,0.15264,0.051684,0.7759,0.85802,0.81924,-0.8151,4.1062,9.8798
17,117:R_2XpQzVOPaMJjkCo,3,1.1297,0.025428,0.14508,0.05,0.81263,0.87252,0.72687,-0.14445,4.0744,9.9577
18,117:R_2XpQzVOPaMJjkCo,4,1.8394,0.0038997,0.22434,0.050001,0.9161,0.73689,0.79598,-0.049519,5.1613,9.9709
19,117:R_2XpQzVOPaMJjkCo,5,2.0584,0.016528,0.21657,0.051116,0.91721,0.88339,0.91828,-0.2446,6.3047,9.8535
20,121:R_2zoxitKzRuYUblm,1,2.0063,0.010755,0.22833,0.050252,0.7904,0.90531,0.79476,0.62354,3.462,9.9856
21,121:R_2zoxitKzRuYUblm,2,16.644,0.90746,0.18531,0.052229,0.40815,1.0253,1.1483,1.0915,5.4544,7.5071
22,121:R_2zoxitKzRuYUblm,3,2.5831,0.0015588,0.090863,0.050014,0.25961,0.8786,1.0628,0.62017,2.9004,9.9981
23,121:R_2zoxitKzRuYUblm,4,5.8514,0.0010143,0.51285,0.050631,0.56836,1.0999,0.69921,0.41437,6.321,8.3182
24,121:R_2zoxitKzRuYUblm,5,3.5652,0.0023448,0.2915,0.059172,0.9546,1.4089,0.63821,0.41608,3.7918,10
25,129:R_2q8z9DfvMUHDZio,1,3.9211,0.001,0.29219,0.05,0.73054,0.18768,0.81066,0.17512,2.9864,8.2942
26,129:R_2q8z9DfvMUHDZio,2,2.4941,0.001,0.25848,0.050012,0.79141,0.39144,0.96794,-0.07599,4.4628,10
27,129:R_2q8z9DfvMUHDZio,3,1.6473,0.02483,0.23648,0.05,0.78987,0.53866,1.1918,0.93133,4.4466,10
28,129:R_2q8z9DfvMUHDZio,4,5.5955,0.0012997,0.33674,0.050005,0.37034,0.39463,0.90599,0.31274,5.1196,7.2876
