subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,8.4623,0.0010226,0.41862,0.05,0.32047,1.9040000000000001,1.6342,0.8691399999999999,9.791,10.0,0.41862,0.5617043043087513,8.62587,227
101:R_31SM3mwQvAhBwar,2,10.0,0.0014914000000000001,0.5212399999999999,0.05,0.69611,2.2852,1.1646,-0.5188,9.9548,9.4189,0.5212399999999999,0.5064192032628649,6.1322,227
101:R_31SM3mwQvAhBwar,3,9.9555,0.0010716,0.44696,0.050145999999999996,1.1508,2.191,1.5974,-0.33365,7.6202,9.6281,0.44696,0.46158567250536947,6.84391,227
101:R_31SM3mwQvAhBwar,4,9.8418,0.001,0.4476,0.05,0.87344,1.7751,1.095,-0.65591,6.577000000000001,9.0735,0.4476,0.47257766345427143,6.5008,227
101:R_31SM3mwQvAhBwar,5,8.8168,0.0010068,0.41125,0.050395,0.25006,1.6626,0.70068,0.29663,8.8062,-8.4875,0.41125,0.5181984532688145,7.9817,227
102:R_vdABJ1XvXNriwff,1,1.7767,0.0011454,0.38861999999999997,0.052138,0.6906399999999999,0.2517,1.3321,0.92464,4.9692,9.1711,0.38861999999999997,0.6562485870097542,8.82931,179
102:R_vdABJ1XvXNriwff,2,1.9989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.44995,0.48542674298094296,2.83351,179
102:R_vdABJ1XvXNriwff,3,4.2218,0.008193700000000002,0.1408,0.064157,0.7158100000000001,0.32643,0.75917,0.76166,6.3041,9.9987,0.1408,0.645731037559796,3.23192,179
102:R_vdABJ1XvXNriwff,4,5.4286,0.016291999999999997,0.2179,0.050073,0.25124,0.33629000000000003,1.1214,1.4219,6.0092,9.9981,0.2179,0.6735044195220191,3.4245,179
102:R_vdABJ1XvXNriwff,5,5.1554,0.0011167,0.00059855,0.05334,0.27269,0.15867,1.0249,0.9049299999999999,2.4223,7.9635,0.00059855,0.5804847501684917,8.29575,179
107:R_2ahKzS67s2u094R,1,10.0,0.99936,0.25111999999999995,0.05,1.4392,0.3387,0.88155,-0.35906,3.6719,8.3554,0.25111999999999995,0.43670081426285906,1.82415e-05,179
107:R_2ahKzS67s2u094R,2,0.65663,0.6625,0.36404000000000003,0.05549400000000001,1.0264,0.2202,1.033,-0.5179600000000001,4.5388,9.8708,0.36404000000000003,0.4972159018832031,0.252116,179
107:R_2ahKzS67s2u094R,3,4.6584,0.9955,0.26727,0.18135,1.4182,0.19185,1.1088,-1.1414,4.6938,9.5155,0.26727,0.394221229545793,0.000310106,179
107:R_2ahKzS67s2u094R,4,3.9437,0.94965,0.37559000000000003,0.050020999999999996,0.85344,0.3012,1.3537,-0.23167,4.7105,9.9509,0.37559000000000003,0.5438212449713881,0.00306457,179
107:R_2ahKzS67s2u094R,5,9.911,0.99995,0.35347,0.051986000000000004,1.2853,0.36825,1.1979,-0.474,4.3311,9.7668,0.35347,0.4496679975144577,0.0,179
117:R_2XpQzVOPaMJjkCo,1,0.81194,0.01384,0.095069,0.050816,0.8047300000000001,0.54147,0.80624,0.13397,4.2956,9.9961,0.095069,0.5832447034274014,4.76401,109
117:R_2XpQzVOPaMJjkCo,2,9.2496,0.8958,0.23137,0.05209199999999999,0.68477,0.28201,1.5859,0.3121,6.4454,9.8794,0.23137,0.6279003598507076,0.00809923,109
117:R_2XpQzVOPaMJjkCo,3,2.3822,0.019006,0.2334,0.059868,1.1422,0.72149,0.70122,-0.041724000000000004,4.2233,9.2516,0.2334,0.5039206572649204,2.5892,109
117:R_2XpQzVOPaMJjkCo,4,1.8174,0.024743,0.11805999999999998,0.054974,1.1618,0.483,0.8241700000000001,0.13857,4.0999,9.9388,0.11805999999999998,0.5174700193323937,2.47603,109
117:R_2XpQzVOPaMJjkCo,5,0.83545,0.008716100000000001,0.2209,0.050062999999999996,0.85562,0.44228,1.0193,0.24067,5.0119,9.9985,0.2209,0.5891067940304507,6.51914,109
121:R_2zoxitKzRuYUblm,1,0.54919,0.012048,0.17544,0.052938,0.48313999999999996,0.62856,1.2641,0.78727,3.5375,10.0,0.17544,0.5969795290038975,7.23411,-9
121:R_2zoxitKzRuYUblm,2,5.5171,0.0012404999999999998,0.35184,0.050023000000000005,0.28188,0.24266999999999997,1.2334,-0.37648000000000004,4.5284,9.8816,0.35184,0.5555893996710731,7.06943,-9
121:R_2zoxitKzRuYUblm,3,9.9052,0.99523,0.3004,0.050435,0.43642,0.39311999999999997,2.2403,0.998,6.2028,7.0648,0.3004,0.6379407277198428,0.00113097,-9
121:R_2zoxitKzRuYUblm,4,3.5111,0.0080393,0.21308000000000002,0.08128300000000001,0.9804299999999999,0.56198,0.8025,0.2646,3.4709,9.9499,0.21308000000000002,0.5464660681501562,2.80044,-9
121:R_2zoxitKzRuYUblm,5,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.19995,0.554885133299538,2.78725,-9
129:R_2q8z9DfvMUHDZio,1,10.0,0.0010012,0.24589,0.050002,0.26988,0.52555,0.8765799999999999,0.34689000000000003,2.7308,10.0,0.24589,0.5409125114239003,7.19254,129
129:R_2q8z9DfvMUHDZio,2,2.0002,0.0019735,0.36367,0.079253,0.92973,0.34265,1.5290000000000001,1.0843,5.3851,9.9687,0.36367,0.5864520385542883,8.0208,129
129:R_2q8z9DfvMUHDZio,3,1.2612,0.0010819,0.18702,0.05,0.6101,0.3752,1.0926,0.8297399999999999,4.2096,9.9997,0.18702,0.6652322544888111,9.76824,129
