subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,3.4351,0.005880300000000001,0.31668,0.052506,1,1.5233,0.8036399999999999,0.69457,4.3451,9.3337,0.31668,0.4772697130477096,3.90814,227
101:R_31SM3mwQvAhBwar,2,4.4257,0.0027769,0.31008,0.050546,1,1.3531,0.83944,0.5266,4.6039,9.3026,0.31008,0.49838182270432513,4.75781,227
101:R_31SM3mwQvAhBwar,3,3.5096,0.0010023999999999999,0.25584,0.050922,1,1.7152,0.89217,0.79099,4.1193,9.9724,0.25584,0.4533933851325527,7.73331,227
101:R_31SM3mwQvAhBwar,4,3.6988,0.0016945,0.30901,0.05018,1,1.3381,0.79847,0.42618,4.5152,9.5438,0.30901,0.4948094804526043,5.98242,227
101:R_31SM3mwQvAhBwar,5,3.8514,0.0026953000000000003,0.26237,0.050041,1,1.2663,0.63612,0.51461,4.2314,9.8585,0.26237,0.494405191334087,4.8189,227
102:R_vdABJ1XvXNriwff,1,6.4434,0.0010292,0.39853,0.050817,1,0.19934000000000002,0.7286699999999999,0.52723,4.2588,9.4511,0.39853,0.5767322368734373,5.90659,179
102:R_vdABJ1XvXNriwff,2,23.506,0.0017655000000000001,0.29973,0.08909700000000001,1,-0.47081000000000006,1.0224,0.43916000000000005,3.3946,8.9217,0.29973,0.5026494142450585,4.83802,179
102:R_vdABJ1XvXNriwff,3,10.960999999999999,0.0049879,0.43415,0.052627999999999994,1,0.6462,0.78704,0.54718,6.7087,8.5019,0.43415,0.5626239662749898,3.22331,179
102:R_vdABJ1XvXNriwff,4,7.7989,0.0029933000000000004,0.45951000000000003,0.050582,1,0.15406,1.5297,1.3812,8.7267,9.6033,0.45951000000000003,0.5773961753528931,4.79349,179
102:R_vdABJ1XvXNriwff,5,14.295,0.0033403,0.37001,0.058705999999999994,1,0.16043,0.9826299999999999,0.84099,7.3049,6.966,0.37001,0.5714451807847026,3.79584,179
107:R_2ahKzS67s2u094R,1,1.6936,0.98839,0.33221,0.07207899999999999,1,-0.38037,1.0404,-0.193,4.2465,7.9005,0.33221,0.49368338011492363,0.00271799,179
107:R_2ahKzS67s2u094R,2,7.7384,0.83485,0.32745,0.051325,1,-0.066328,1.3019,-0.070302,5.6408,9.9986,0.32745,0.532119129580246,0.00529004,179
107:R_2ahKzS67s2u094R,3,0.2139,0.006241,0.3785,0.05,1,-0.42055,0.9736,-0.5423399999999999,4.3321,9.9858,0.3785,0.4627330848022645,6.26131,179
107:R_2ahKzS67s2u094R,4,21.723000000000003,1.0,0.5153800000000001,0.05972,1,-0.40039,1.7676,0.33203,9.3408,9.4775,0.5153800000000001,0.5410563419588773,0.0,179
107:R_2ahKzS67s2u094R,5,0.32587,0.080112,0.22960999999999998,0.050032,1,0.27157,0.73741,-0.14195,4.1821,10.0,0.22960999999999998,0.5366642854722701,2.94624,179
117:R_2XpQzVOPaMJjkCo,1,10.045,0.81955,0.17798,0.05,1,0.95215,0.9033200000000001,0.03418,4.8145,9.9414,0.17798,0.519312227617021,0.00324699,109
117:R_2XpQzVOPaMJjkCo,2,1.1918,0.001,0.046855,0.091882,1,0.77391,0.78138,-0.27514,3.2393,10.0,0.046855,0.47856392530935044,5.70139,109
117:R_2XpQzVOPaMJjkCo,3,0.90607,0.038886000000000004,0.2183,0.05082,1,0.5009,0.94773,0.079394,4.1462,9.9265,0.2183,0.5408126206773552,3.05319,109
117:R_2XpQzVOPaMJjkCo,4,2.8827,0.008826,0.20245,0.052372,1,0.9920899999999999,0.80812,-0.27189,5.7823,9.9998,0.20245,0.5120285022990197,3.96696,109
117:R_2XpQzVOPaMJjkCo,5,1.6198,0.10167999999999999,0.0019137999999999998,0.07182899999999999,1,0.78613,0.89487,-0.050008,4.7504,9.5583,0.0019137999999999998,0.5251694830112134,1.38333,109
121:R_2zoxitKzRuYUblm,1,13.704,0.0015824,0.58935,0.052876,1,1.6817,0.8569700000000001,-0.79422,9.6553,-0.11556,0.58935,0.49301114458806145,5.64194,-9
121:R_2zoxitKzRuYUblm,2,9.844,0.0026376,0.4678,0.05,1,1.4024,0.36051,-0.5942,5.5771,7.4745,0.4678,0.4557418597313519,4.26591,-9
121:R_2zoxitKzRuYUblm,3,2.3107,0.0096042,0.1355,0.052145000000000004,1,1.1783,0.7375,0.5581,2.8541,7.8522,0.1355,0.456276915043716,3.28148,-9
121:R_2zoxitKzRuYUblm,4,10.452,0.0010267000000000002,0.61702,0.051736000000000004,1,2.1146,0.77877,-1.7503,8.1022,9.8738,0.61702,0.42537010942747505,6.45392,-9
121:R_2zoxitKzRuYUblm,5,6.8893,0.0010474,0.50157,0.09684,1,1.344,0.068499,-1.0227,4.7457,7.8079,0.50157,0.4005666156721413,5.54103,-9
129:R_2q8z9DfvMUHDZio,1,1.3614,0.024308,0.2561,0.052713,1,0.5221600000000001,0.82214,0.64545,3.6182,9.0796,0.2561,0.5612106420055172,2.9631,129
129:R_2q8z9DfvMUHDZio,2,1.7462,0.0011452,0.24358000000000002,0.050154000000000004,1,0.44603000000000004,0.88613,0.6219899999999999,3.1171,9.9982,0.24358000000000002,0.5534662609033599,7.45918,129
129:R_2q8z9DfvMUHDZio,3,2.6637,0.013748,0.23565999999999998,0.050429,1,0.36844,1.0184,0.54843,3.8405,10.0,0.23565999999999998,0.5626451908413496,2.7423,129
129:R_2q8z9DfvMUHDZio,4,1.8253,0.002703,0.2522,0.050071,1,0.16196,0.8165899999999999,0.54952,3.1458,9.9007,0.2522,0.5707287720372999,5.44099,129
129:R_2q8z9DfvMUHDZio,5,2.2794,0.007018600000000001,0.27015,0.06526900000000001,1,0.57091,1.0681,0.54204,3.8186,9.5912,0.27015,0.5480927199314889,3.99984,129
137:R_2X1ycnpBX7zJOwI,1,6.8614,0.0036483000000000006,0.67351,0.057438,1,0.45631000000000005,2.2391,1.2459,8.7734,7.9359,0.67351,0.5686866051461636,4.47081,-8
137:R_2X1ycnpBX7zJOwI,2,5.7528,0.0017187,0.50363,0.052724,1,0.48921000000000003,0.37940999999999997,0.48808,5.5861,9.955,0.50363,0.5518469146720305,5.18404,-8
137:R_2X1ycnpBX7zJOwI,3,4.1482,0.0033434,0.74867,0.053462,1,0.23815,1.3077,1.0968,8.5356,7.9669,0.74867,0.5755961420947383,4.79796,-8
137:R_2X1ycnpBX7zJOwI,4,4.7648,0.0032048000000000003,0.70654,0.051821000000000006,1,0.12358,1.158,0.29477,7.2993,9.5926,0.70654,0.5582907586850422,4.71494,-8
137:R_2X1ycnpBX7zJOwI,5,1.9989,0.019989,0.44995,0.05,1,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.44995,0.5187731167935867,2.67875,-8
139:R_1F5MGuZ2rKZOLnc,1,4.3157,0.0026923000000000003,0.5856399999999999,0.05151699999999999,1,0.43542,0.46556000000000003,-0.5532,3.5194,9.0341,0.5856399999999999,0.48102036382298446,4.14513,-194
139:R_1F5MGuZ2rKZOLnc,2,5.4003,0.030497000000000003,0.54865,0.05,1,1.1011,1.571,0.62988,4.2712,9.927999999999999,0.54865,0.4992913589484151,1.13243,-194
139:R_1F5MGuZ2rKZOLnc,3,5.0026,0.0010164999999999998,0.67327,0.083398,1,0.21639,0.9275899999999999,-0.27345,4.3569,9.7256,0.67327,0.5233580196178022,5.65226,-194
139:R_1F5MGuZ2rKZOLnc,4,4.5843,0.011197,0.23988,0.29020999999999997,1,1.6183,1.2104,0.39739,3.1024,9.8654,0.23988,0.4138850161018192,1.79891,-194
139:R_1F5MGuZ2rKZOLnc,5,7.1573,0.006090699999999999,0.5565399999999999,0.19823,1,0.062979,0.62452,-0.73845,4.4958,9.9838,0.5565399999999999,0.47719182253405,2.57784,-194
