subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,10000,1,0.21728000000000003,0.065605,0.45091000000000003,1.3258,1.3456,1.4112,6.2906,9.9695,0.21728000000000003,0.5916523343030967,0.0,227
101:R_31SM3mwQvAhBwar,2,10000,1,0.22418000000000002,0.050292,0.30706,1.4616,1.2989,1.2203,9.0497,9.9884,0.22418000000000002,0.6012732616844624,0.0,227
101:R_31SM3mwQvAhBwar,3,10000,1,0.29927,0.054429,0.37195,1.473,1.5039,1.1051,8.0911,7.1956,0.29927,0.5954067951514375,0.0,227
101:R_31SM3mwQvAhBwar,4,10000,1,0.2387,0.050549000000000004,0.39963000000000004,1.5686,1.3435,1.2406,8.5275,2.0745,0.2387,0.5985044266880019,0.0,227
101:R_31SM3mwQvAhBwar,5,10000,1,0.23772,0.053848,0.34073000000000003,1.1444,1.635,1.4085,9.4629,4.5927,0.23772,0.6531402026012335,0.0,227
102:R_vdABJ1XvXNriwff,1,10000,1,0.39333,0.050123,0.45128999999999997,0.45956,2.8825,2.2239,10.0,8.7134,0.39333,0.6862673662880515,0.0,179
102:R_vdABJ1XvXNriwff,2,10000,1,0.35316,0.05,0.36978,0.37808,2.4438,2.1585,10.0,-10.0,0.35316,0.69818008982914,0.0,179
102:R_vdABJ1XvXNriwff,3,10000,1,0.30163,0.051144999999999996,0.42606000000000005,0.65387,2.397,1.8861,9.9997,7.8118,0.30163,0.6946804755874402,0.0,179
102:R_vdABJ1XvXNriwff,4,10000,1,0.17502,0.056692,0.3214,0.053032,2.0457,0.97929,8.6284,6.7525,0.17502,0.6800412442275827,0.0,179
102:R_vdABJ1XvXNriwff,5,10000,1,0.29041,0.050053,0.32736,0.063303,2.2068,1.7023,9.6545,4.6592,0.29041,0.6958648664560603,0.0,179
107:R_2ahKzS67s2u094R,1,10000,1,0.49622,0.077655,1.766,0.019806,1.2208,0.54618,6.3007,8.9177,0.49622,0.41007021213859146,0.0,179
107:R_2ahKzS67s2u094R,2,10000,1,0.3226,0.13927,1.0887,0.015946000000000002,1.0067,-0.29721,4.8484,6.2599,0.3226,0.5031210913437305,0.0,179
107:R_2ahKzS67s2u094R,3,10000,1,0.19629000000000002,0.13509000000000002,1.1907,0.37598000000000004,0.9570299999999999,-1.0547,5.707999999999999,10.0,0.19629000000000002,0.4489257399921888,0.0,179
107:R_2ahKzS67s2u094R,4,10000,1,0.24965,0.11607,0.91879,-0.20747,1.3896,-0.32576,9.1231,9.9859,0.24965,0.5400800076283848,0.0,179
107:R_2ahKzS67s2u094R,5,10000,1,0.39053000000000004,0.096082,1.4506,-0.47736999999999996,1.0689,-0.18805999999999998,5.7383,9.9981,0.39053000000000004,0.42995218153215886,0.0,179
117:R_2XpQzVOPaMJjkCo,1,10000,1,0.20326,0.050033,0.6380399999999999,0.9381200000000001,1.0849,0.11535,6.0631,9.749,0.20326,0.5874915380093376,0.0,109
117:R_2XpQzVOPaMJjkCo,2,10000,1,0.30051,0.050298,0.67364,0.80482,1.5526,-0.1966,7.9529,0.16408,0.30051,0.5917908587536431,0.0,109
117:R_2XpQzVOPaMJjkCo,3,10000,1,0.29464,0.050207,0.62312,0.58465,1.5596,-0.12852,8.01,6.3171,0.29464,0.613365150863135,0.0,109
117:R_2XpQzVOPaMJjkCo,4,10000,1,0.29120999999999997,0.074544,0.61921,0.9194,1.8077,0.27676999999999996,10.0,10.0,0.29120999999999997,0.6280952905755751,0.0,109
117:R_2XpQzVOPaMJjkCo,5,10000,1,0.24174,0.06656799999999999,0.57733,0.71227,1.8487,0.9076700000000001,9.9833,10.0,0.24174,0.6686559965485082,0.0,109
121:R_2zoxitKzRuYUblm,1,10000,1,0.1008,0.051116,0.28405,0.82983,1.4887,1.3936,5.6481,5.2914,0.1008,0.6048940184869911,0.0,-9
121:R_2zoxitKzRuYUblm,2,10000,1,0.39104,0.050004,0.25005,1.0697,2.2049,2.039,10.0,-0.9496100000000001,0.39104,0.6327296159258139,0.0,-9
121:R_2zoxitKzRuYUblm,3,10000,1,0.42506000000000005,0.087031,0.3966,1.2125,2.6529,1.0896,8.8615,9.1178,0.42506000000000005,0.6140608292817358,0.0,-9
121:R_2zoxitKzRuYUblm,4,10000,1,0.21506999999999998,0.05089,0.30959000000000003,0.90289,1.4085,0.97749,5.6038,9.5089,0.21506999999999998,0.5991203639311048,0.0,-9
121:R_2zoxitKzRuYUblm,5,10000,1,0.38017,0.050946,0.34924,1.0383,2.3045,1.1958,8.4356,-0.75763,0.38017,0.6281114587404103,0.0,-9
129:R_2q8z9DfvMUHDZio,1,10000,1,0.32124,0.057274,0.56275,0.39646,1.306,1.0314,6.2008,10.0,0.32124,0.6900388901218161,0.0,129
129:R_2q8z9DfvMUHDZio,2,10000,1,0.32313000000000003,0.051241999999999996,0.6732899999999999,0.37949,1.3959,0.8377399999999999,5.3008,1.1802,0.32313000000000003,0.6521507291058422,0.0,129
129:R_2q8z9DfvMUHDZio,3,10000,1,0.32522,0.053578999999999995,0.55876,0.50595,1.4446,1.072,6.3478,9.8667,0.32522,0.6808886194362352,0.0,129
129:R_2q8z9DfvMUHDZio,4,10000,1,0.36061,0.050087,0.42728,0.41706000000000004,1.8434,1.5549,8.8557,9.5948,0.36061,0.7107141537990456,0.0,129
129:R_2q8z9DfvMUHDZio,5,10000,1,0.36611,0.05,0.46393,0.8075899999999999,1.8823,2.1753,8.9557,7.9292,0.36611,0.6916432490012558,0.0,129
137:R_2X1ycnpBX7zJOwI,1,10000,1,0.41675,0.093105,0.47321,0.11422,2.2126,1.6037,6.3612,9.9989,0.41675,0.6641011795660667,0.0,-8
137:R_2X1ycnpBX7zJOwI,2,10000,1,0.41468,0.099085,0.29579,0.24275,1.5709,1.1353,7.2156,9.8959,0.41468,0.6890343393637377,0.0,-8
137:R_2X1ycnpBX7zJOwI,3,10000,1,0.38048000000000004,0.11907000000000001,0.2502,0.37759000000000004,2.659,2.254,9.9957,-2.6901,0.38048000000000004,0.6481533746297878,0.0,-8
137:R_2X1ycnpBX7zJOwI,4,10000,1,0.41889,0.10182000000000001,0.5052399999999999,0.50894,1.0986,0.86598,3.986,3.4797,0.41889,0.6512512658339096,0.0,-8
137:R_2X1ycnpBX7zJOwI,5,10000,1,0.36177,0.06015,0.3203,0.51458,1.3779,2.0826,6.3639,5.2369,0.36177,0.6655970100640588,0.0,-8
139:R_1F5MGuZ2rKZOLnc,1,10000,1,0.0,0.05,2.4294,-10.0,-4.3167,7.7482,-10.0,10.0,0.0,0.23947692028782513,0.0,-194
139:R_1F5MGuZ2rKZOLnc,2,10000,1,7.1525e-05,0.05304400000000001,3.9998,-9.6863,4.4174,7.176,-9.1595,-9.8666,7.1525e-05,-0.210963056080858,0.0,-194
139:R_1F5MGuZ2rKZOLnc,3,10000,1,2.7657e-05,0.05,3.2139,-9.9887,-5.8751,8.2828,-10.0,10.0,2.7657e-05,0.21434812133502823,0.0,-194
139:R_1F5MGuZ2rKZOLnc,4,10000,1,0.0,0.05,2.8584,-7.2998,-6.7627,9.9854,-10.0,-10.0,0.0,0.20500099574257064,0.0,-194
139:R_1F5MGuZ2rKZOLnc,5,10000,1,0.00091268,0.06383899999999999,1.8148,-10.0,-1.6242,5.0377,-7.0193,-0.79162,0.00091268,0.2447415433492912,0.0,-194
149:R_shhEOP9BPIFkz97,1,10000,1,0.27624,0.050552,0.42358,0.44997,1.2439,0.83768,4.8395,9.9906,0.27624,0.6710811353708114,0.0,66
149:R_shhEOP9BPIFkz97,2,10000,1,0.40236,0.05455700000000001,0.31213,0.85355,1.5828,1.0471,7.9481,9.9189,0.40236,0.6517696630124037,0.0,66
149:R_shhEOP9BPIFkz97,3,10000,1,0.26953,0.10486,0.45691000000000004,0.89641,1.301,1.5622,6.5514,0.36980999999999997,0.26953,0.6579910169985157,0.0,66
149:R_shhEOP9BPIFkz97,4,10000,1,0.22733000000000003,0.050611,0.48148,0.65427,1.1097,1.125,4.7431,-2.8672,0.22733000000000003,0.6540676636268986,0.0,66
149:R_shhEOP9BPIFkz97,5,10000,1,0.26685,0.10853,0.4917,0.34392,1.0605,1.1149,5.3371,9.9999,0.26685,0.7055901334044125,0.0,66
150:R_3ilNhJufw9u0JJr,1,10000,1,0.32568,0.05,0.25024,0.47852,1.6992,1.1475,9.8438,3.2275,0.32568,0.6797663953139931,0.0,-53
150:R_3ilNhJufw9u0JJr,2,10000,1,0.46302,0.08896799999999999,0.45898,0.29252,1.3149,0.51982,4.5343,9.9778,0.46302,0.6601825585570488,0.0,-53
150:R_3ilNhJufw9u0JJr,3,10000,1,0.51841,0.050508,0.41266,0.68813,1.9663,1.2264,8.6922,9.5781,0.51841,0.6831171040409841,0.0,-53
150:R_3ilNhJufw9u0JJr,4,10000,1,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.19995,0.554885133299538,0.0,-53
150:R_3ilNhJufw9u0JJr,5,10000,1,0.40843,0.050046,0.42594,0.52777,1.32,0.38789,5.1189,2.8419,0.40843,0.6390593275010237,0.0,-53
152:R_XEQd4AtPvWuAWnT,1,10000,1,0.54071,0.059582,0.8950899999999999,0.31259000000000003,1.5343,-0.43742,4.8945,7.5547,0.54071,0.5153867410528347,0.0,7
152:R_XEQd4AtPvWuAWnT,2,10000,1,0.418,0.12052,0.72272,0.77772,0.9836299999999999,-0.34573000000000004,4.0147,0.11191,0.418,0.5187067214559917,0.0,7
152:R_XEQd4AtPvWuAWnT,3,10000,1,0.3665,0.071382,0.74475,0.66254,1.0699,-0.25423,4.0211,9.2853,0.3665,0.5349229726224091,0.0,7
152:R_XEQd4AtPvWuAWnT,4,10000,1,0.55799,0.13902,0.94455,0.3273,1.4311,0.3118,4.0871,10.0,0.55799,0.543736418782123,0.0,7
152:R_XEQd4AtPvWuAWnT,5,10000,1,0.45311,0.05,0.78569,0.52668,1.1139,-1.1378,4.6396,9.9993,0.45311,0.471681627573121,0.0,7
156:R_2TTetTXWqRwQOGb,1,10000,1,0.69039,0.17329,1.1594,-0.18335,2.3214,-3.0689,6.3777,7.5933,0.69039,0.33708886081765393,0.0,-96
156:R_2TTetTXWqRwQOGb,2,10000,1,0.49665,0.12022999999999999,1.3749,-0.11130999999999999,1.1186,-0.61436,3.9866,9.4796,0.49665,0.41220393533242794,0.0,-96
156:R_2TTetTXWqRwQOGb,3,10000,1,0.5775399999999999,0.13676,1.3642,0.5992,1.6574,-1.1095,5.9633,9.7487,0.5775399999999999,0.4167215571951992,0.0,-96
156:R_2TTetTXWqRwQOGb,4,10000,1,0.62231,0.10947,1.7781,0.61523,1.6846,-4.5703,7.085,9.9365,0.62231,0.2705151645912669,0.0,-96
156:R_2TTetTXWqRwQOGb,5,10000,1,0.6458699999999999,0.14376,2.1243,1.1496,1.9681,-1.9425,7.2074,7.8577,0.6458699999999999,0.32584901580416803,0.0,-96
166:R_9Nac2hjg6u7BlS1,1,10000,1,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.19995,0.554885133299538,0.0,-116
166:R_9Nac2hjg6u7BlS1,2,10000,1,1.31e-07,0.05,1.7931,-10.0,-7.0335,4.8522,-10.0,10.0,1.31e-07,0.2696213665954767,0.0,-116
166:R_9Nac2hjg6u7BlS1,3,10000,1,0.29727,0.07421699999999999,0.37049,0.27128,1.6308,0.41706000000000004,4.7902,8.6261,0.29727,0.6227313871562873,0.0,-116
166:R_9Nac2hjg6u7BlS1,4,10000,1,0.35012,0.069108,0.35754,0.26755999999999996,1.6761,-0.32368,5.1367,9.2914,0.35012,0.5643071077922552,0.0,-116
166:R_9Nac2hjg6u7BlS1,5,10000,1,0.36021,0.059625,0.38964,0.39916999999999997,1.5756,0.6421100000000001,4.6327,9.729,0.36021,0.6296433019707958,0.0,-116
171:R_1Qck2ykGDls2DLz,1,10000,1,0.38509,0.051905999999999994,0.39799,0.67695,1.6803,0.15667999999999999,5.2708,9.8479,0.38509,0.5844495696645716,0.0,-45
171:R_1Qck2ykGDls2DLz,2,10000,1,0.40321999999999997,0.10372,0.51857,0.5413399999999999,1.3793,0.33405,3.5667,9.338,0.40321999999999997,0.5783553524241594,0.0,-45
171:R_1Qck2ykGDls2DLz,3,10000,1,0.27791,0.073386,0.41523000000000004,0.79888,1.2247,-0.046782,4.2204,6.5641,0.27791,0.541553476096263,0.0,-45
171:R_1Qck2ykGDls2DLz,4,10000,1,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.19995,0.554885133299538,0.0,-45
171:R_1Qck2ykGDls2DLz,5,10000,1,0.42189,0.082376,0.58617,0.74936,1.3627,-0.048895999999999995,4.021,8.0845,0.42189,0.5419334205117011,0.0,-45
175:R_2vjnTMhG0Bpa7wq,1,10000,1,0.36678,0.12297000000000001,0.64075,0.50367,1.3183,0.6707,7.2237,4.8516,0.36678,0.6577895814409092,0.0,85
175:R_2vjnTMhG0Bpa7wq,2,10000,1,0.44273,0.05,0.73831,0.31898000000000004,1.1811,0.94173,5.4232,9.9887,0.44273,0.6515939849514403,0.0,85
175:R_2vjnTMhG0Bpa7wq,3,10000,1,0.44133,0.05221900000000001,0.53737,0.33525,2.065,0.9965299999999999,7.8375,4.0198,0.44133,0.6761932291061329,0.0,85
