subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
101:R_31SM3mwQvAhBwar,1,8.0007,0.0010156,0.44551,0.053600999999999996,1.5953,2.0824,0.845,-0.10528,5.7179,10.0,0.44551,0.41279539265703147,7.07231,227
101:R_31SM3mwQvAhBwar,2,5.1322,0.0048103,0.29412,0.057609,0.9107799999999999,1.4121,0.75078,0.13564,4.3569,9.9879,0.29412,0.4786997709522654,3.47866,227
101:R_31SM3mwQvAhBwar,3,4.3738,0.0032927,0.23601,0.050213,0.9675799999999999,1.3559999999999999,0.82165,0.71107,3.5773,8.1415,0.23601,0.4718575565312651,4.23422,227
101:R_31SM3mwQvAhBwar,4,6.6823,0.0010193,0.4415,0.055457000000000006,0.93468,1.5316,0.71317,-0.23285999999999998,5.1804,9.8674,0.4415,0.4709845817341716,6.24849,227
101:R_31SM3mwQvAhBwar,5,0.8980600000000001,0.046613,0.36311,0.050177,0.40886999999999996,1.4362,1.4141,0.76002,7.7215,10.0,0.36311,0.5883401924737042,4.37138,227
102:R_vdABJ1XvXNriwff,1,9.3337,0.0050918,0.39799999999999996,0.050189,0.9594,0.4424,0.66824,0.62646,7.1791,9.8877,0.39799999999999996,0.570711745640881,3.26906,179
102:R_vdABJ1XvXNriwff,2,6.4554,0.0073434,0.22788000000000003,0.050331,0.25676,-0.20633,0.97582,0.57811,4.5957,8.9024,0.22788000000000003,0.6437272617678931,4.31313,179
102:R_vdABJ1XvXNriwff,3,0.71233,0.0010034,6.921e-05,0.050023000000000005,0.55996,0.11607999999999999,0.8453,0.65513,3.1617,8.9797,6.921e-05,0.6878130241916495,9.74805,179
102:R_vdABJ1XvXNriwff,4,9.0657,0.0036509,0.37443000000000004,0.052499000000000004,0.9178200000000001,0.014173,0.68181,0.59596,6.7959,9.7832,0.37443000000000004,0.5756207493072302,3.81386,179
102:R_vdABJ1XvXNriwff,5,8.3978,0.0010000999999999999,0.14084000000000002,0.050135,0.25001,0.30138000000000004,1.5299,1.1415,4.3941,9.3368,0.14084000000000002,0.6033248582743754,9.33305,179
107:R_2ahKzS67s2u094R,1,0.46187,0.029579,0.21643,0.057267,1.2521,0.13619,0.69471,-0.20325,3.1528,9.8743,0.21643,0.4758136352730316,3.12406,179
107:R_2ahKzS67s2u094R,2,2.1934,0.9668100000000001,0.21035,0.1051,0.96654,-0.17519,0.96062,-0.070877,4.8081,9.9073,0.21035,0.534719684465914,0.00585553,179
107:R_2ahKzS67s2u094R,3,0.10497999999999999,0.017006,0.27545,0.11696,1.2532,-0.094965,0.79147,-0.1431,3.9010000000000002,9.9609,0.27545,0.4755181874710977,3.94462,179
107:R_2ahKzS67s2u094R,4,50.035,0.9994299999999999,0.44411999999999996,0.057007,1.1837,0.040172,0.9564600000000001,-0.73121,3.6107,9.9979,0.44411999999999996,0.43203320410594653,0.0,179
107:R_2ahKzS67s2u094R,5,0.34763,0.0192,0.38134,0.05365,1.0761,-0.39707,0.9171799999999999,-0.24603000000000003,4.2228,9.9954,0.38134,0.47591483911899707,4.90321,179
117:R_2XpQzVOPaMJjkCo,1,3.7592,0.0076457999999999995,0.12007000000000001,0.050019,0.31099,1.061,1.1632,-0.39828,4.2407,9.9992,0.12007000000000001,0.45971561063553595,4.13909,109
117:R_2XpQzVOPaMJjkCo,2,0.9566100000000001,0.003189,0.15264,0.051684,0.7759,0.8580200000000001,0.81924,-0.8151,4.1062,9.8798,0.15264,0.4685045810433527,6.7529,109
117:R_2XpQzVOPaMJjkCo,3,1.1297,0.025428,0.14508,0.05,0.81263,0.8725200000000001,0.72687,-0.14445,4.0744,9.9577,0.14508,0.5209629089173472,3.33984,109
117:R_2XpQzVOPaMJjkCo,4,1.8394,0.0038997,0.22434,0.050001,0.9161,0.7368899999999999,0.79598,-0.049519,5.1613,9.9709,0.22434,0.5454544306523527,5.99953,109
117:R_2XpQzVOPaMJjkCo,5,2.0584,0.016528,0.21656999999999998,0.051116,0.9172100000000001,0.88339,0.9182799999999999,-0.2446,6.3047,9.8535,0.21656999999999998,0.5357164980501576,4.06906,109
121:R_2zoxitKzRuYUblm,1,2.0063,0.010754999999999999,0.22833,0.050252,0.7904,0.9053100000000001,0.79476,0.62354,3.4619999999999997,9.9856,0.22833,0.5439746884658994,3.32692,-9
121:R_2zoxitKzRuYUblm,2,16.644000000000002,0.90746,0.18531,0.052229,0.40815,1.0253,1.1483,1.0915,5.4544,7.5071,0.18531,0.6044336678940512,0.0196279,-9
121:R_2zoxitKzRuYUblm,3,2.5831,0.0015588,0.090863,0.050013999999999996,0.25961,0.8786,1.0628,0.62017,2.9004,9.9981,0.090863,0.4766059304217784,7.59367,-9
121:R_2zoxitKzRuYUblm,4,5.8514,0.0010142999999999999,0.51285,0.050631,0.5683600000000001,1.0999,0.69921,0.41436999999999996,6.321000000000001,8.3182,0.51285,0.585852936564167,6.58046,-9
121:R_2zoxitKzRuYUblm,5,3.5652,0.0023448,0.2915,0.059172,0.9546,1.4089,0.63821,0.41608,3.7918,10.0,0.2915,0.4656259894428497,5.00582,-9
129:R_2q8z9DfvMUHDZio,1,3.9211,0.001,0.29219,0.05,0.73054,0.18767999999999999,0.81066,0.17512,2.9864,8.2942,0.29219,0.6123467571454752,6.133,129
129:R_2q8z9DfvMUHDZio,2,2.4941,0.001,0.25848000000000004,0.050012,0.7914100000000001,0.39144,0.9679399999999999,-0.07599,4.4628,10.0,0.25848000000000004,0.5773997070286387,7.32222,129
129:R_2q8z9DfvMUHDZio,3,1.6473,0.02483,0.23648000000000002,0.05,0.78987,0.53866,1.1918,0.9313299999999999,4.4466,10.0,0.23648000000000002,0.6147722274133456,3.01844,129
129:R_2q8z9DfvMUHDZio,4,5.5955,0.0012997,0.33674,0.050005,0.37034,0.39463000000000004,0.90599,0.31274,5.1196,7.2876,0.33674,0.6688263597478116,6.88114,129
129:R_2q8z9DfvMUHDZio,5,3.1183,0.018997999999999998,0.23913,0.051338999999999996,1.0066,0.66227,0.95881,0.45627,4.3623,9.6877,0.23913,0.5508263301757308,2.27052,129
137:R_2X1ycnpBX7zJOwI,1,4.5898,0.004678100000000001,0.66456,0.10805,1.0493,0.50105,1.3013,1.115,7.1164,9.7467,0.66456,0.565357871490877,4.01883,-8
137:R_2X1ycnpBX7zJOwI,2,0.66328,0.001,0.44687,0.05051,0.42455,0.2862,1.2904,0.99798,4.6906,9.9654,0.44687,0.6850759880704864,12.2566,-8
137:R_2X1ycnpBX7zJOwI,3,4.3043,0.018943,0.34409,0.07743799999999999,0.90259,0.3551,1.0099,0.41868999999999995,4.6749,9.1175,0.34409,0.5901066369105217,1.81131,-8
137:R_2X1ycnpBX7zJOwI,4,3.5887,0.0077066999999999995,0.45121000000000006,0.050023000000000005,1.0984,0.36646999999999996,0.58941,0.28076,4.0386,8.387,0.45121000000000006,0.5432886411835063,3.13455,-8
137:R_2X1ycnpBX7zJOwI,5,5.2095,0.028968,0.59497,0.05,0.86255,0.16113,0.78613,-0.5127,5.2979,10.0,0.59497,0.5341150195748625,1.3666,-8
139:R_1F5MGuZ2rKZOLnc,1,0.17257,0.0010178,0.19528,0.06350599999999999,0.3104,0.072422,0.8876799999999999,0.59031,3.8492,9.9663,0.19528,0.6887936045011408,11.097,-194
139:R_1F5MGuZ2rKZOLnc,2,64.7,0.0051733000000000005,0.4969,0.35791999999999996,2.5127,1.4017,0.42103999999999997,0.12715,5.4583,9.9988,0.4969,0.37431665627078486,2.14947,-194
139:R_1F5MGuZ2rKZOLnc,3,0.733,0.045985000000000005,0.34315999999999997,0.099891,0.25608000000000003,-0.022732,1.4869999999999999,0.9649700000000001,4.2879,9.4055,0.34315999999999997,0.6083956710964142,3.58639,-194
139:R_1F5MGuZ2rKZOLnc,4,2.2066,0.012112999999999999,0.37914000000000003,0.097492,0.64382,0.62997,0.50129,0.0694,3.9151,9.6531,0.37914000000000003,0.5780548417574539,2.75567,-194
139:R_1F5MGuZ2rKZOLnc,5,2.8536,0.11457,0.19448,0.24595999999999998,0.49605,0.32807,0.8221,0.17824,4.8794,9.922,0.19448,0.6610262394474251,0.573221,-194
149:R_shhEOP9BPIFkz97,1,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.19995,0.554885133299538,2.78725,66
149:R_shhEOP9BPIFkz97,2,14.618,0.0040328000000000004,0.38595,0.050339999999999996,0.65733,0.31673,1.1369,0.43656999999999996,3.6073,9.9032,0.38595,0.6251263163298573,4.06779,66
149:R_shhEOP9BPIFkz97,3,3.6478,0.0097473,0.21936,0.065304,0.76435,0.54874,0.63152,0.6378,3.3139999999999996,8.4359,0.21936,0.604956641660033,2.53229,66
149:R_shhEOP9BPIFkz97,4,4.0481,0.012029999999999999,0.27082,0.077466,1.1207,0.5908800000000001,1.0483,0.75858,4.4252,10.0,0.27082,0.5336797914708195,2.49911,66
149:R_shhEOP9BPIFkz97,5,19.989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.5010000000000003,10.0,0.44995,0.48542674298094296,1.32483,66
150:R_3ilNhJufw9u0JJr,1,2.9852,0.009112700000000001,0.49128999999999995,0.050322000000000006,1.0773,0.7177,0.97115,-0.76489,3.2979,7.187,0.49128999999999995,0.4282903840960219,2.99354,-53
150:R_3ilNhJufw9u0JJr,2,1.6372,0.014246,0.52212,0.050029000000000004,0.8486600000000001,0.60136,0.97136,-0.34611,3.2976,9.9996,0.52212,0.4996539813288286,3.26293,-53
150:R_3ilNhJufw9u0JJr,3,5.1731,0.0024121,0.5641,0.050489,0.96839,0.76176,1.0005,-1.1591,4.9809,10.0,0.5641,0.45292860440522065,4.58973,-53
150:R_3ilNhJufw9u0JJr,4,2.3125,0.02286,0.45698,0.050224,0.9232,0.55391,1.1392,-0.03965,3.6129,9.7013,0.45698,0.5225934417666261,2.24035,-53
150:R_3ilNhJufw9u0JJr,5,3.9487,0.005686999999999999,0.36814,0.050918,0.90515,0.39299999999999996,0.82689,-0.65235,3.3142,9.9938,0.36814,0.47709668754613266,3.2386,-53
152:R_XEQd4AtPvWuAWnT,1,2.0621,0.027572000000000003,0.37615,0.07432000000000001,1.011,0.57209,1.1447,-0.35214,3.6562,9.7153,0.37615,0.48408190361190273,2.28439,7
152:R_XEQd4AtPvWuAWnT,2,0.9735,0.011261,0.3201,0.059261,0.90323,0.39152,0.97695,-0.27152,3.7368,9.682,0.3201,0.5262235089353691,4.67957,7
152:R_XEQd4AtPvWuAWnT,3,2.2284,0.023347,0.22738000000000003,0.059614999999999994,1.0923,0.67833,0.9772299999999999,-0.079276,3.4982,9.6952,0.22738000000000003,0.49051382757304307,2.34011,7
152:R_XEQd4AtPvWuAWnT,4,2.0814,0.0031972,0.32147,0.050759,0.8828299999999999,0.47418999999999994,0.9770200000000001,-0.56238,3.5285,9.2588,0.32147,0.48944378927577187,5.09613,7
152:R_XEQd4AtPvWuAWnT,5,3.2777,0.15893,0.30086,0.099353,1.0913,0.8448100000000001,1.0402,-0.56724,4.3626,8.1843,0.30086,0.4666876568013506,0.486757,7
156:R_2TTetTXWqRwQOGb,1,0.8186399999999999,0.35616,0.41635,0.050815,0.96214,0.17259000000000002,1.1452,-0.33914,3.6651,9.8939,0.41635,0.5025303673072472,0.65166,-96
156:R_2TTetTXWqRwQOGb,2,0.44748999999999994,0.035427999999999994,0.38140999999999997,0.065502,1.3053,0.41221,1.0908,-0.11051,4.284,9.9814,0.38140999999999997,0.47160412945345626,3.73561,-96
156:R_2TTetTXWqRwQOGb,3,0.6361399999999999,0.94304,0.32553000000000004,0.099776,1.1746,0.37312,1.1133,-0.31066,3.988,9.965,0.32553000000000004,0.47586752296864826,0.0293324,-96
156:R_2TTetTXWqRwQOGb,4,6.2895,0.99984,0.49885,0.050242,1.4974,0.41893,1.2745,-4.2917,4.2515,9.8993,0.49885,0.23269713230705397,0.0,-96
156:R_2TTetTXWqRwQOGb,5,0.5068,0.3663,0.50183,0.058507,1.4516,0.34424,1.1682,-1.4648,3.5535,9.988999999999999,0.50183,0.339514075405503,0.865815,-96
