Subject ID,Total Games, Total Wins, Horizontal wins,Vertical wins, Diagonal wins, Losses, Draws
166:R_9Nac2hjg6u7BlS1,35,23,11,5,7,12,0
A1088:R_21tsSKEkouatsIv,35,23,9,5,9,10,2
217:R_1JPc2llYzw1ezqs,35,24,5,7,12,10,1
150:R_3ilNhJufw9u0JJr,35,23,11,3,9,9,3
890:R_3k6BHPoEBivOVoU,35,25,13,3,9,10,0
A1177:R_1LSZ0fYugR2CutH,35,25,7,6,12,8,2
196:R_0voL9dLPRpILrS9,35,22,7,3,12,11,2
117:R_2XpQzVOPaMJjkCo,35,26,13,6,7,9,0
856:R_3EEYoLyNN9SpuuT,35,26,20,1,5,8,1
121:R_2zoxitKzRuYUblm,35,26,9,7,10,9,0
201:R_3kzZPXnjFGbpt30,35,26,11,5,10,8,1
A121:R_3j2tErwVrBPXWAH,35,26,17,4,5,9,0
200:R_1NCzjmN3Hl5r3HF,35,24,8,9,7,11,0
A1083:R_0OFsszTuxG152et,35,26,11,6,9,8,1
192:R_1LeQOpZ9pat1k7D,35,25,15,2,8,9,1
101:R_31SM3mwQvAhBwar,35,25,16,5,4,6,4
102:R_vdABJ1XvXNriwff,35,25,14,2,9,8,2
832:R_xlnbFfl5i6Zgz5v,35,23,5,17,1,12,0
A112:R_1DSHShmupLFd4m9,35,27,10,4,13,8,0
139:R_1F5MGuZ2rKZOLnc,35,24,6,5,13,8,3
858:R_3NR4vGxEweQ74vU,35,24,11,4,9,11,0
290:R_25zHKt5eqk2Fr1k,35,26,10,9,7,9,0
208:R_2AST2XkjQUqflkc,35,24,5,5,14,11,0
236:R_24qFUPTZKx0SybQ,35,12,2,6,4,18,5
870:R_2xVJtapsa8AgCqQ,35,25,7,16,2,10,0
212:R_OOl4OrOpRgbrLBD,35,27,21,0,6,8,0
A1145:R_sMqyJ1BSXGhpH45,35,24,17,2,5,6,5
156:R_2TTetTXWqRwQOGb,35,23,18,4,1,11,1
179:R_2xV1IwgJyplwuvp,35,24,16,7,1,11,0
137:R_2X1ycnpBX7zJOwI,35,23,7,10,6,10,2
842:R_3jciZNiYxaSffqd,35,25,14,3,8,8,2
129:R_2q8z9DfvMUHDZio,35,25,12,1,12,10,0
152:R_XEQd4AtPvWuAWnT,35,24,16,3,5,10,1
A103:R_3lJsCIPqfpqRhkf,35,25,17,1,7,9,1
A101:R_Q0Jd5lCBrQu5Dm9,35,26,14,6,6,9,0
107:R_2ahKzS67s2u094R,35,25,16,5,4,10,0
281:R_NVGtaI93MLLVQfT,35,27,20,4,3,8,0
874:R_1odMCxxk6eeEibU,35,23,11,7,5,10,2
248:R_1Do3QQWN7pWkPwQ,35,27,12,3,12,8,0
226:R_2X10rcLujzFpHxv,35,25,8,4,13,9,1
329:R_23eNWjNjj4QQj6j,35,25,6,3,16,9,1
183:R_2uPQbPniskmS0Ep,35,27,13,9,5,8,0
305:R_WBOZ0yrZfLTCClz,35,24,7,5,12,9,2
187:R_3oHOHstFKN4HiLA,34,23,13,8,2,10,1
227:R_2qlLx30lmNEXUJL,35,26,5,5,16,8,1
273:R_2zuodaGDxpO8dfe,35,26,17,2,7,7,2
230:R_28G5rUmynDONqbJ,35,26,17,1,8,9,0
833:R_1IsH6cT55Ys9Qu4,35,25,2,15,8,10,0
868:R_3fr4BoB7aWIvPgR,35,25,5,14,6,10,0
A130:R_zUdkqlxVsz3sXcJ,35,26,19,1,6,9,0
194:R_24rdiskqYQc7BsO,35,26,9,6,11,9,0
180:R_1OGFPUUh0z8rWBh,35,23,13,10,0,12,0
182:R_3NEgCFlK1BFSmdZ,35,27,19,5,3,7,1
199:R_D1Afhly6eOCY66B,35,26,21,2,3,9,0
181:R_3fDgQlApbcv1n4e,35,27,15,4,8,8,0
149:R_shhEOP9BPIFkz97,35,24,15,0,9,11,0
242:R_12lQaNUgCpqQizh,35,24,8,3,13,11,0
209:R_1esokoelkIOTy89,35,23,9,5,9,9,3
256:R_10BfVTQovUcZioM,35,24,14,2,8,8,3
245:R_eINRkRhqhKHRjzz,35,25,15,7,3,10,0
877:R_3OdnHFXpuFf8un0,35,26,13,6,7,8,1
844:R_2D6PtBpvztH0yVh,35,21,11,6,4,12,2
250:R_r2BwOdT2hnmQ5WN,34,23,7,5,11,10,1
A1198:R_2rnZByl3Wr3snSB,35,24,15,1,8,8,3
197:R_bqny5leXGykyp0t,35,21,10,6,5,9,5
215:R_32R47f1GRrLhRdX,35,22,4,3,15,12,1
A927:R_1rNeL3pw39vXNRi,35,24,9,3,12,10,1
202:R_2OHMsGSLXJZG0Bc,35,26,11,5,10,9,0
A242:R_ymscU32j53VKwil,70,55,38,9,8,15,0
A1153:R_1CwnNA5xXOlHq5l,35,24,12,5,7,11,0
834:R_30ppJhWfEZIOoSi,35,22,20,1,1,13,0
175:R_2vjnTMhG0Bpa7wq,35,26,14,4,8,8,1
849:R_1im5d5ENT1vk0Xm,35,25,13,4,8,10,0
216:R_21j62EoiJ63yEJ5,35,26,15,4,7,9,0
859:R_2TIcY7St40mDSbp,35,22,3,4,15,12,1
846:R_z1hBUlYMwkfdbGh,35,25,9,4,12,10,0
A1186:R_25X9yP84u29qmjb,35,23,4,10,9,12,0
A157:R_2S7zh1YCdNMj6yh,35,24,5,2,17,9,2
884:R_1GV2s0YumCvk7mL,35,26,18,2,6,9,0
262:R_30idhiqurUAv63D,35,25,7,11,7,10,0
878:R_1oj3N9paNMQNcBO,35,26,20,4,2,9,0
228:R_ULyuWg2JwZBuGiJ,35,24,3,20,1,9,2
806:R_2y2vsNf1xM7cyDH,35,24,10,5,9,10,1
A1098:R_2Ugu89wtmPn7MqW,35,24,6,5,13,10,1
A1155:R_r1L2X7BOYIy9Nuh,35,25,2,9,14,10,0
804:R_3EsSw2YvrmJfDkB,35,24,16,3,5,9,2
A1107:R_1jJRP7qgTeMGQjK,35,25,8,8,9,10,0
A1084:R_2e2JcZRGwBBrLuc,35,24,11,6,7,7,4
221:R_2wvlbfkxX6e4M29,35,25,22,2,1,8,2
A337:R_2Cp82k425UC0gZO,35,26,5,12,9,9,0
A1195:R_3RjyrEiTIWDXA2x,35,25,9,6,10,10,0
229:R_3KxYOzYEKloODvs,35,27,11,5,11,8,0
A1183:R_1IRSUcwvzKWHeiK,35,27,12,6,9,8,0
866:R_1gV06gSb8WYiLyG,35,24,6,4,14,9,2
A1142:R_2q7AVjiFzzHLJze,35,25,7,6,12,8,2
869:R_1ISnTo9jrXyYo7m,35,26,16,3,7,8,1
A1052:R_787p5urRmH36oyR,35,26,20,3,3,9,0
A1176:R_1IQUAVGM8CMTUs7,35,25,15,0,10,6,4
A139:R_2PASwn39sTwAjf7,35,26,12,6,8,9,0
A197:R_24FNrEzIsOLhu9P,35,26,5,5,16,7,2
A290:R_pbj3IZMREKq4PTj,35,24,11,2,11,9,2
A919:R_1gqDKLw9vYTuhE7,35,27,9,2,16,6,2
269:R_2zC5iAXvVOKLmh6,35,25,2,5,18,10,0
872:R_3qROiZsEr7Bcg5H,35,24,14,7,3,11,0
A1124:R_1FRFvReh5PWJdU4,35,25,13,4,8,10,0
A1189:R_2Pbwv5ODYaLw4cM,35,27,6,5,16,8,0
814:R_3g7L4XGVMxJRB0Y,35,23,7,16,0,12,0
A1218:R_27TjX2Y40PFXng2,35,26,5,5,16,9,0
A1046:R_2PyWOmUGyUGZUEJ,35,26,14,2,10,8,1
171:R_1Qck2ykGDls2DLz,35,24,14,3,7,11,0
805:R_BDtiNRvCWgS3tlv,35,25,12,3,10,9,1
866:R_31YEgt5MqfcfZMC,35,23,10,3,10,11,1
810:R_2zjbTiTg8Eyyn0l,35,26,14,5,7,8,1
811:R_3qjkmgfPqGwc8Ds,35,28,16,0,12,6,1
A1099:R_xrAaD53OJwbsqch,35,25,7,7,11,10,0
A1156:R_3PLx6wbMJkWDIHL,35,25,13,3,9,10,0
A162:R_W6S2JhASxlVGYrn,35,27,14,0,13,8,0
A160:R_2BhfLUXYvGnrPGY,35,24,11,3,10,9,2
423:R_2VEZT2fDPyNv1gm,35,22,1,5,16,13,0
291:R_3fq8dlBEbdOzPCb,35,26,9,9,8,7,2
231:R_2QRpawEy8w6txvN,35,26,12,6,8,9,0
A1144:R_1GQ4AZBwXaNGfUa,35,23,3,7,13,11,1
A314:R_1mfw4bW019u3R2s,35,27,10,9,8,5,3
A1169:R_279by9quxXs7MJg,35,23,6,5,12,11,1
892:R_2s1049Oc450dUTh,35,25,13,6,6,9,1
511:R_1q7Lpr4tLzK3kHb,35,26,10,10,6,9,0
293:R_2aCAcRnL67iaV0l,35,25,8,6,11,10,0
876:R_2EoXmGjYUQr2dur,35,27,12,5,10,8,0
A1068:R_wRzI7YBAT4B6vrb,35,24,15,1,8,11,0
294:R_2zP8FeEoub7z36i,35,26,12,3,11,9,0
A137:R_1BVGDFLE0MAoBT7,35,26,16,1,9,8,1
A1190:R_vuhZhSRa1lAUfNT,35,27,6,5,16,6,2
249:R_d1i4xMt2Vzivxg5,35,26,8,9,9,8,1
A1203:R_3iUSiDuaITYn9xH,35,26,1,3,22,9,0
A206:R_20NeIyNUzFyrwec,35,28,15,7,6,6,1
A953:R_6gueSHxvF4UshlT,35,26,5,7,14,9,0
A1157:R_0GqMhnxN1UuSyZP,34,24,19,3,2,10,0
891:R_4ZvxGd3B7j8Ow4F,35,25,16,8,1,7,3
535:R_STCj0QvQgvLzWU1,35,27,10,3,14,8,0
A1164:R_1BW6aO57CMNB7R2,35,27,10,6,11,8,0
875:R_sRIghBHHMf7ejap,35,25,2,17,6,10,0
A1184:R_28HW4qAaDytUum4,35,27,21,3,3,8,0
A115:R_2SIX12SOZtVB5hi,35,25,16,4,5,9,1
A259:R_2qDxofDzXoJdsd5,35,26,21,2,3,9,0
883:R_b255PQj1bstkMjD,34,23,14,2,7,10,1
353:R_poraw4AzFhTIAxP,35,24,3,4,17,8,3
