Subject ID,Games,Decisions,NLL (Random model)
166:R_9Nac2hjg6u7BlS1,35,255,848.4915971105994
A108:R_2TnOx7dVPSonpTg,25,169,533.2236965501633
A123:R_2viEesh2c9XCBMe,25,153,516.5338208807377
A120:R_PONVLZnwDK7wSpr,25,167,559.2771342817708
A1088:R_21tsSKEkouatsIv,35,279,896.4164128192514
115:R_241tt6O6tVQs9NR,20,142,457.51582272328204
106:R_1HqNZ7zU4Tb0SSR,20,177,555.4614556853796
A1174:R_296zFssAEmp2lpK,14,68,232.35139663849444
131:R_3iJ8A5hXnygbqAF,20,128,431.97629226244396
160:R_3h5POosYswsLZqe,20,112,368.13060523109635
159:R_3kolXJjcfDsjL6k,20,161,511.80930831356375
A125:R_d5dJPkPEZBF0HLP,30,178,603.4070013690085
217:R_1JPc2llYzw1ezqs,35,233,767.1955526729557
150:R_3ilNhJufw9u0JJr,35,249,798.8117342808148
890:R_3k6BHPoEBivOVoU,35,218,732.7575264125585
A1177:R_1LSZ0fYugR2CutH,35,248,806.2525713951304
128:R_AEYAh7gikx2YEvL,20,144,474.3371087138205
154:R_3kgZuiVj87g1GNO,20,154,481.085862401835
153:R_reR4dauvBGinQvT,20,170,531.9449777267693
109:R_1NurOLY6ru1XwrL,10,60,203.48390000767603
124:R_cOwNfKZ17YDGcGR,10,91,293.3519796502514
196:R_0voL9dLPRpILrS9,35,272,878.9050722406674
130:R_10pkDu4x8ARiMHf,10,70,235.4684834154874
168:R_2ARs0RJIBjJZhYL,20,158,519.5990457505219
117:R_2XpQzVOPaMJjkCo,35,189,643.9657818959836
856:R_3EEYoLyNN9SpuuT,35,193,648.1939653460234
121:R_2zoxitKzRuYUblm,35,223,751.7289405607299
143:R_1PRYqkSFZQYTVUg,20,129,425.5824043881767
A507:R_2b176cnRCyapnkx,25,142,481.929647302297
201:R_3kzZPXnjFGbpt30,35,242,795.4510710296809
142:R_1InpeBO876j23Eh,20,197,608.980586067397
169:R_RQyaj0YbKu9fsDT,25,173,567.6122251793945
A121:R_3j2tErwVrBPXWAH,35,203,686.6634297630161
195:R_22tOmOP9V3YTA0u,25,192,628.1565541437558
200:R_1NCzjmN3Hl5r3HF,35,227,758.7679812063045
A1083:R_0OFsszTuxG152et,35,226,748.6922554571087
192:R_1LeQOpZ9pat1k7D,35,232,765.7095944577588
101:R_31SM3mwQvAhBwar,35,269,850.7882927542147
102:R_vdABJ1XvXNriwff,35,231,753.6639220099397
832:R_xlnbFfl5i6Zgz5v,35,213,714.8697836040121
A112:R_1DSHShmupLFd4m9,35,231,776.2960877449998
139:R_1F5MGuZ2rKZOLnc,35,358,1114.9477534380387
858:R_3NR4vGxEweQ74vU,35,198,670.631130945049
290:R_25zHKt5eqk2Fr1k,35,238,798.043652294142
208:R_2AST2XkjQUqflkc,35,179,610.6730414144303
236:R_24qFUPTZKx0SybQ,35,391,1182.0578008138843
870:R_2xVJtapsa8AgCqQ,35,187,637.7189426491085
212:R_OOl4OrOpRgbrLBD,35,167,573.9515865075304
A1145:R_sMqyJ1BSXGhpH45,35,318,987.3979969378661
118:R_28AEWB4BHHAp3ic,20,135,439.40246781287067
A116:R_cu9t4ZNp60qTplf,25,139,471.3457888365375
156:R_2TTetTXWqRwQOGb,35,206,684.2042090114862
179:R_2xV1IwgJyplwuvp,35,237,774.5430114214821
116:R_3qeT0l1LS4myHr4,20,155,507.6796530742457
