User,GameNr,Category,Level,MoveNr,RT,UserMoves,OpponentMoves,Result
A112:R_1DSHShmupLFd4m9,0,2,14,1,2.6,6,5,win
A112:R_1DSHShmupLFd4m9,0,2,14,2,11.486,6,5,win
A112:R_1DSHShmupLFd4m9,0,2,14,3,4.662,6,5,win
A112:R_1DSHShmupLFd4m9,0,2,14,4,14.431,6,5,win
A112:R_1DSHShmupLFd4m9,0,2,14,5,5.286,6,5,win
A112:R_1DSHShmupLFd4m9,0,2,14,6,1.327,6,5,win
A112:R_1DSHShmupLFd4m9,1,3,28,1,1.365,4,4,win
A112:R_1DSHShmupLFd4m9,1,3,28,2,5.531,4,4,win
A112:R_1DSHShmupLFd4m9,1,3,28,3,1.771,4,4,win
A112:R_1DSHShmupLFd4m9,1,3,28,4,1.515,4,4,win
A112:R_1DSHShmupLFd4m9,2,4,31,1,1.47,7,6,win
A112:R_1DSHShmupLFd4m9,2,4,31,2,6.396,7,6,win
A112:R_1DSHShmupLFd4m9,2,4,31,3,2.658,7,6,win
A112:R_1DSHShmupLFd4m9,2,4,31,4,8.474,7,6,win
A112:R_1DSHShmupLFd4m9,2,4,31,5,6.829,7,6,win
A112:R_1DSHShmupLFd4m9,2,4,31,6,4.734,7,6,win
A112:R_1DSHShmupLFd4m9,2,4,31,7,1.941,7,6,win
A112:R_1DSHShmupLFd4m9,3,5,42,1,1.388,5,5,win
A112:R_1DSHShmupLFd4m9,3,5,42,2,16.061,5,5,win
A112:R_1DSHShmupLFd4m9,3,5,42,3,3.876,5,5,win
A112:R_1DSHShmupLFd4m9,3,5,42,4,6.239,5,5,win
A112:R_1DSHShmupLFd4m9,3,5,42,5,1.511,5,5,win
A112:R_1DSHShmupLFd4m9,4,6,55,1,1.351,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,2,3.737,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,3,3.014,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,4,14.851,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,5,6.046,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,6,2.493,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,7,5.65,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,8,10.779,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,9,6.889,10,9,win
A112:R_1DSHShmupLFd4m9,4,6,55,10,1.059,10,9,win
A112:R_1DSHShmupLFd4m9,5,7,59,1,1.374,6,6,win
A112:R_1DSHShmupLFd4m9,5,7,59,2,2.33,6,6,win
A112:R_1DSHShmupLFd4m9,5,7,59,3,1.923,6,6,win
A112:R_1DSHShmupLFd4m9,5,7,59,4,5.657,6,6,win
A112:R_1DSHShmupLFd4m9,5,7,59,5,5.26,6,6,win
A112:R_1DSHShmupLFd4m9,5,7,59,6,1.779,6,6,win
A112:R_1DSHShmupLFd4m9,6,8,79,1,1.111,5,4,win
A112:R_1DSHShmupLFd4m9,6,8,79,2,2.769,5,4,win
A112:R_1DSHShmupLFd4m9,6,8,79,3,4.236,5,4,win
A112:R_1DSHShmupLFd4m9,6,8,79,4,4.822,5,4,win
A112:R_1DSHShmupLFd4m9,6,8,79,5,1.175,5,4,win
A112:R_1DSHShmupLFd4m9,7,9,82,1,2.65,5,5,win
A112:R_1DSHShmupLFd4m9,7,9,82,2,11.749,5,5,win
A112:R_1DSHShmupLFd4m9,7,9,82,3,2.81,5,5,win
A112:R_1DSHShmupLFd4m9,7,9,82,4,2.815,5,5,win
A112:R_1DSHShmupLFd4m9,7,9,82,5,1.397,5,5,win
A112:R_1DSHShmupLFd4m9,8,10,91,1,3.399,5,4,win
A112:R_1DSHShmupLFd4m9,8,10,91,2,14.288,5,4,win
A112:R_1DSHShmupLFd4m9,8,10,91,3,3.498,5,4,win
A112:R_1DSHShmupLFd4m9,8,10,91,4,5.384,5,4,win
A112:R_1DSHShmupLFd4m9,8,10,91,5,1.751,5,4,win
A112:R_1DSHShmupLFd4m9,9,11,104,1,1.645,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,2,2.29,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,3,8.444,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,4,2.13,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,5,3.165,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,6,3.015,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,7,4.972,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,8,3.332,9,9,win
A112:R_1DSHShmupLFd4m9,9,11,104,9,1.092,9,9,win
A112:R_1DSHShmupLFd4m9,10,12,114,1,2.649,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,2,7.081,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,3,5.555,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,4,1.292,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,5,1.444,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,6,4.875,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,7,4.43,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,8,1.541,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,9,2.119,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,10,13.939,11,10,win
A112:R_1DSHShmupLFd4m9,10,12,114,11,1.361,11,10,win
A112:R_1DSHShmupLFd4m9,11,13,126,1,1.528,6,6,win
A112:R_1DSHShmupLFd4m9,11,13,126,2,5.012,6,6,win
A112:R_1DSHShmupLFd4m9,11,13,126,3,2.593,6,6,win
A112:R_1DSHShmupLFd4m9,11,13,126,4,5.565,6,6,win
A112:R_1DSHShmupLFd4m9,11,13,126,5,1.678,6,6,win
A112:R_1DSHShmupLFd4m9,11,13,126,6,1.283,6,6,win
A112:R_1DSHShmupLFd4m9,12,14,129,1,6.857,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,2,3.865,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,3,2.953,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,4,4.145,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,5,4.482,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,6,2.489,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,7,15.797,8,8,opponent win
A112:R_1DSHShmupLFd4m9,12,14,129,8,1.47,8,8,opponent win
A112:R_1DSHShmupLFd4m9,13,13,129,1,0.952,6,7,opponent win
A112:R_1DSHShmupLFd4m9,13,13,129,2,3.96,6,7,opponent win
A112:R_1DSHShmupLFd4m9,13,13,129,3,3.041,6,7,opponent win
A112:R_1DSHShmupLFd4m9,13,13,129,4,1.819,6,7,opponent win
A112:R_1DSHShmupLFd4m9,13,13,129,5,2.593,6,7,opponent win
A112:R_1DSHShmupLFd4m9,13,13,129,6,12.497,6,7,opponent win
A112:R_1DSHShmupLFd4m9,14,12,112,1,2.36,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,2,4.959,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,3,3.656,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,4,5.11,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,5,0.852,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,6,7.394,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,7,6.185,8,7,win
A112:R_1DSHShmupLFd4m9,14,12,112,8,1.764,8,7,win
A112:R_1DSHShmupLFd4m9,15,12,114,1,1.588,5,5,win
A112:R_1DSHShmupLFd4m9,15,12,114,2,14.208,5,5,win
A112:R_1DSHShmupLFd4m9,15,12,114,3,3.39,5,5,win
A112:R_1DSHShmupLFd4m9,15,12,114,4,2.601,5,5,win
A112:R_1DSHShmupLFd4m9,15,12,114,5,1.381,5,5,win
A112:R_1DSHShmupLFd4m9,16,13,121,1,1.416,6,5,win
A112:R_1DSHShmupLFd4m9,16,13,121,2,0.525,6,5,win
A112:R_1DSHShmupLFd4m9,16,13,121,3,4.186,6,5,win
A112:R_1DSHShmupLFd4m9,16,13,121,4,1.245,6,5,win
A112:R_1DSHShmupLFd4m9,16,13,121,5,6.842,6,5,win
A112:R_1DSHShmupLFd4m9,16,13,121,6,1.082,6,5,win
A112:R_1DSHShmupLFd4m9,17,14,130,1,1.125,5,6,opponent win
A112:R_1DSHShmupLFd4m9,17,14,130,2,2.742,5,6,opponent win
A112:R_1DSHShmupLFd4m9,17,14,130,3,3.006,5,6,opponent win
A112:R_1DSHShmupLFd4m9,17,14,130,4,4.585,5,6,opponent win
A112:R_1DSHShmupLFd4m9,17,14,130,5,3.229,5,6,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,1,1.64,7,7,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,2,3.296,7,7,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,3,2.043,7,7,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,4,6.526,7,7,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,5,6.117,7,7,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,6,2.854,7,7,opponent win
A112:R_1DSHShmupLFd4m9,18,13,126,7,1.646,7,7,opponent win
A112:R_1DSHShmupLFd4m9,19,12,116,1,4.034,7,7,win
A112:R_1DSHShmupLFd4m9,19,12,116,2,5.034,7,7,win
A112:R_1DSHShmupLFd4m9,19,12,116,3,2.962,7,7,win
A112:R_1DSHShmupLFd4m9,19,12,116,4,3.838,7,7,win
A112:R_1DSHShmupLFd4m9,19,12,116,5,2.862,7,7,win
A112:R_1DSHShmupLFd4m9,19,12,116,6,11.012,7,7,win
A112:R_1DSHShmupLFd4m9,19,12,116,7,3.356,7,7,win
A112:R_1DSHShmupLFd4m9,20,12,118,1,10.731,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,2,4.166,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,3,3.413,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,4,2.763,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,5,1.568,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,6,2.65,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,7,4.723,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,8,3.338,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,9,6.098,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,10,15.858,11,10,win
A112:R_1DSHShmupLFd4m9,20,12,118,11,1.911,11,10,win
A112:R_1DSHShmupLFd4m9,21,13,119,1,0.76,7,7,win
A112:R_1DSHShmupLFd4m9,21,13,119,2,1.47,7,7,win
A112:R_1DSHShmupLFd4m9,21,13,119,3,1.653,7,7,win
A112:R_1DSHShmupLFd4m9,21,13,119,4,1.63,7,7,win
A112:R_1DSHShmupLFd4m9,21,13,119,5,4.317,7,7,win
A112:R_1DSHShmupLFd4m9,21,13,119,6,5.506,7,7,win
A112:R_1DSHShmupLFd4m9,21,13,119,7,1.05,7,7,win
A112:R_1DSHShmupLFd4m9,22,14,135,1,3.739,5,4,win
A112:R_1DSHShmupLFd4m9,22,14,135,2,8.692,5,4,win
A112:R_1DSHShmupLFd4m9,22,14,135,3,4.346,5,4,win
A112:R_1DSHShmupLFd4m9,22,14,135,4,2.109,5,4,win
A112:R_1DSHShmupLFd4m9,22,14,135,5,2.891,5,4,win
A112:R_1DSHShmupLFd4m9,23,15,145,1,1.745,3,4,opponent win
A112:R_1DSHShmupLFd4m9,23,15,145,2,2.794,3,4,opponent win
A112:R_1DSHShmupLFd4m9,23,15,145,3,7.981,3,4,opponent win
A112:R_1DSHShmupLFd4m9,24,14,130,1,1.123,6,5,win
A112:R_1DSHShmupLFd4m9,24,14,130,2,3.438,6,5,win
A112:R_1DSHShmupLFd4m9,24,14,130,3,2.249,6,5,win
A112:R_1DSHShmupLFd4m9,24,14,130,4,3.556,6,5,win
A112:R_1DSHShmupLFd4m9,24,14,130,5,1.998,6,5,win
